# Residuals     
# Time          	p               	sigmaxx         	sigmaxy         	sigmayy         	sigmazz         
0.275           	3.77386343e-01	1.64028190e-02	1.27297705e-02	1.83783827e-02	0.00000000e+00
0.28            	1.27034499e-01	1.61495766e-02	1.25378335e-02	1.55210665e-02	0.00000000e+00
0.285           	1.10469611e-01	1.59051756e-02	1.23528843e-02	1.20168860e-02	0.00000000e+00
0.29            	1.86976976e-01	1.56691633e-02	1.21746161e-02	2.22095692e-02	0.00000000e+00
0.295           	2.65513634e-01	1.54411147e-02	1.20026760e-02	1.95989279e-02	0.00000000e+00
0.3             	2.92360055e-01	1.52206353e-02	1.18367391e-02	2.35810116e-02	0.00000000e+00
0.305           	1.53192584e-01	1.50073546e-02	1.16764982e-02	2.09530295e-02	0.00000000e+00
0.31            	1.17021613e-01	1.48009276e-02	1.15216711e-02	1.50314598e-02	0.00000000e+00
0.315           	7.39632333e-01	1.46010293e-02	1.13719892e-02	1.77045017e-02	0.00000000e+00
0.32            	1.31242846e-01	1.44073561e-02	1.12272049e-02	1.13465444e-02	0.00000000e+00
0.325           	7.98665230e-01	1.42196225e-02	1.10870836e-02	1.28166143e-02	0.00000000e+00
0.33            	6.27108671e-01	1.40375607e-02	1.09514075e-02	1.36901341e-02	0.00000000e+00
0.335           	2.01960708e-01	1.38591759e-02	1.08199699e-02	1.13471034e-02	0.00000000e+00
0.34            	7.17744406e-01	1.36857452e-02	1.06925784e-02	1.11829710e-02	0.00000000e+00
0.345           	4.20692176e-01	1.35173431e-02	1.05690510e-02	1.27751839e-02	0.00000000e+00
0.35            	1.95003387e-01	1.33537575e-02	1.04487148e-02	1.03997034e-02	0.00000000e+00
0.355           	2.16376958e-01	1.31947896e-02	1.03313739e-02	1.32532845e-02	0.00000000e+00
0.36            	1.38701378e-01	1.30402437e-02	1.02174466e-02	1.01995036e-02	0.00000000e+00
0.365           	2.16439752e-01	1.28891650e-02	1.01070829e-02	9.78732094e-03	0.00000000e+00
0.37            	1.33996393e-01	1.27411501e-02	1.00002740e-02	8.49427833e-03	0.00000000e+00
0.375           	1.29631228e-01	1.25971026e-02	9.89645608e-03	8.61809154e-03	0.00000000e+00
0.38            	2.08266056e-01	1.24568674e-02	9.79550842e-03	1.39825864e-02	0.00000000e+00
0.385           	1.21219645e-01	1.23202970e-02	9.69671768e-03	1.29933066e-02	0.00000000e+00
0.39            	5.32752688e-01	1.21872509e-02	9.60022476e-03	1.75090514e-02	0.00000000e+00
0.395           	4.73490783e-01	1.20575960e-02	9.50630247e-03	1.51128318e-02	0.00000000e+00
0.4             	3.51798668e-01	1.19312059e-02	9.41485103e-03	1.62259650e-02	0.00000000e+00
0.405           	1.52327236e-01	1.18079609e-02	9.32577680e-03	1.66689050e-02	0.00000000e+00
0.41            	4.13413707e-01	1.16877463e-02	9.23898980e-03	1.57320143e-02	0.00000000e+00
0.415           	2.98315241e-01	1.15704530e-02	9.15440404e-03	1.50062559e-02	0.00000000e+00
0.42            	2.41725808e-01	1.14559776e-02	9.07193868e-03	1.65735570e-02	0.00000000e+00
0.425           	1.88067438e-01	1.13442212e-02	8.99151655e-03	9.19829725e-03	0.00000000e+00
0.43            	5.71493816e-01	1.12350895e-02	8.91306345e-03	1.37164429e-02	0.00000000e+00
0.435           	3.72111191e-01	1.11284925e-02	8.83650939e-03	1.29724530e-02	0.00000000e+00
0.44            	1.64690041e-01	1.10243467e-02	8.76178739e-03	1.36138507e-02	0.00000000e+00
0.445           	1.87053245e-01	1.09225739e-02	8.68883327e-03	1.07100690e-02	0.00000000e+00
0.45            	1.41938917e-01	1.08227841e-02	8.61758637e-03	1.05902671e-02	0.00000000e+00
0.455           	1.53789504e-01	1.07243217e-02	8.54798786e-03	1.01636058e-02	0.00000000e+00
0.46            	1.20919867e-01	1.06280331e-02	8.47998243e-03	9.97412471e-03	0.00000000e+00
0.465           	6.21326278e-01	1.05338488e-02	8.41351652e-03	8.46885270e-03	0.00000000e+00
0.47            	1.03729602e-01	1.04417022e-02	8.34853969e-03	1.20615782e-02	0.00000000e+00
0.475           	1.22895390e-01	1.03515291e-02	8.28500270e-03	1.09991716e-02	0.00000000e+00
0.48            	1.68283296e-01	1.02632680e-02	8.22285873e-03	1.76539529e-02	0.00000000e+00
0.485           	2.80473288e-01	1.01761875e-02	8.16206335e-03	1.32077893e-02	0.00000000e+00
0.49            	2.36680676e-01	1.00904934e-02	8.10242801e-03	1.15070703e-02	0.00000000e+00
0.495           	1.38490949e-01	1.00065696e-02	8.04358027e-03	6.85480779e-03	0.00000000e+00
0.5             	7.07461464e-01	9.92417472e-03	7.98597167e-03	1.60830645e-02	0.00000000e+00
0.505           	1.16056641e-01	9.84361421e-03	7.92956418e-03	7.93197441e-03	0.00000000e+00
0.51            	1.57964703e-01	9.76472249e-03	7.87432055e-03	5.42780885e-03	0.00000000e+00
0.515           	1.19874738e-01	9.68741541e-03	7.82020566e-03	1.01451445e-02	0.00000000e+00
0.52            	6.63903003e-01	9.61180580e-03	7.76718559e-03	1.11608794e-02	0.00000000e+00
0.525           	4.89171526e-01	9.53753359e-03	7.71539455e-03	8.40182949e-03	0.00000000e+00
0.53            	3.90103318e-01	9.46465467e-03	7.66444581e-03	9.90720542e-03	0.00000000e+00
0.535           	2.50484449e-01	9.39315547e-03	7.61448244e-03	9.29911108e-03	0.00000000e+00
0.54            	1.58642593e-01	9.32300936e-03	7.56552212e-03	9.99393002e-03	0.00000000e+00
