time,field,initial,final
42.0,Uy,0.0405035,0.00161909
43.0,Uy,0.0436013,0.00179877
44.0,Uy,0.0486414,0.00200618
45.0,Uy,0.0542515,0.0021778
46.0,Uy,0.0585651,0.00224178
47.0,Uy,0.0607839,0.00218744
48.0,Uy,0.0609941,0.0020299
49.0,Uy,0.0609901,0.00184912
50.0,Uy,0.0610824,0.00169091
51.0,Uy,0.060847,0.0016173
52.0,Uy,0.0587251,0.00158487
53.0,Uy,0.0547012,0.00152152
54.0,Uy,0.0502718,0.00141208
55.0,Uy,0.0463148,0.00127188
56.0,Uy,0.042481,0.00114502
57.0,Uy,0.0378975,0.00105651
58.0,Uy,0.0329908,0.000994989
59.0,Uy,0.0293967,0.000948331
60.0,Uy,0.0271247,0.000920633
61.0,Uy,0.0254018,0.000903752
62.0,Uy,0.024118,0.000888582
63.0,Uy,0.0232276,0.000866548
64.0,Uy,0.0225993,0.000838446
65.0,Uy,0.0221752,0.000807749
66.0,Uy,0.0217996,0.000773686
67.0,Uy,0.021294,0.00073473
68.0,Uy,0.0207088,0.000692045
69.0,Uy,0.0200025,0.00064752
70.0,Uy,0.0194084,0.000611474
71.0,Uy,0.0191031,0.000596487
72.0,Uy,0.0191383,0.000598232
73.0,Uy,0.0193477,0.000615597
74.0,Uy,0.0197745,0.000656014
75.0,Uy,0.0207389,0.000707689
76.0,Uy,0.0223164,0.000768992
77.0,Uy,0.0244312,0.000836259
78.0,Uy,0.0266382,0.000897813
79.0,Uy,0.0287838,0.000942178
80.0,Uy,0.0307802,0.000973212
81.0,Uy,0.0329272,0.00100674
82.0,Uy,0.0355731,0.00105549
83.0,Uy,0.0383784,0.00109748
84.0,Uy,0.0407801,0.00114054
85.0,Uy,0.0420757,0.00117947
86.0,Uy,0.041757,0.00119377
87.0,Uy,0.0400637,0.00116667
88.0,Uy,0.0376226,0.00108975
89.0,Uy,0.0348313,0.000975349
90.0,Uy,0.0315586,0.000853269
91.0,Uy,0.027943,0.000749407
92.0,Uy,0.0248857,0.000674678
93.0,Uy,0.022791,0.000624177
94.0,Uy,0.0214308,0.000593305
95.0,Uy,0.0206747,0.000575834
96.0,Uy,0.0205,0.000580551
97.0,Uy,0.0210118,0.000609112
98.0,Uy,0.0218996,0.000657586
99.0,Uy,0.023085,0.000722709
100.0,Uy,0.0243827,0.000800277
1.0,Uz,1.0,0.000151685
2.0,Uz,0.283847,0.0235862
3.0,Uz,0.279184,0.011103
4.0,Uz,0.268285,0.013827
5.0,Uz,0.170808,0.00640801
