#      distance             U_x             U_y             U_z
    0.017468105     0.077583022    1.320629e-16               0
    0.029606807      0.13045432   1.3911872e-16               0
    0.042184752      0.18453203   1.2709933e-16               0
    0.055217834      0.23980913   1.2672093e-16               0
    0.068722522      0.29627664   1.2592355e-16               0
    0.082715881      0.35392071    1.211791e-16               0
    0.097215595      0.41271459   1.2415751e-16               0
     0.11223999      0.47263479   1.2301115e-16               0
     0.12780804      0.53365388   1.2392272e-16               0
     0.14393943      0.59571999   1.2608082e-16               0
     0.16065453      0.65879431   1.2927892e-16               0
     0.17797448      0.72283291   1.3078129e-16               0
     0.19592116      0.78776545   1.3295396e-16               0
     0.21451724      0.85351928   1.3402636e-16               0
     0.23378623      0.92001329   1.3781615e-16               0
     0.25375247      0.98715554   1.3749545e-16               0
      0.2744412       1.0548392   1.3849713e-16               0
     0.29587856       1.1229278   1.4083976e-16               0
     0.31809163       1.1912946   1.4464261e-16               0
     0.34110849       1.2598031    1.491175e-16               0
     0.36495823       1.3283005   1.5185023e-16               0
     0.38967097       1.3966064   1.5857229e-16               0
     0.41527795       1.4645075   1.6613006e-16               0
     0.44181153       1.5317868   1.6739273e-16               0
     0.46930524       1.5981556   1.7268736e-16               0
     0.49779381       1.6633352   1.6278152e-16               0
     0.52731325       1.7270588   1.4800786e-16               0
     0.55790087       1.7890322   1.4989547e-16               0
      0.5895953       1.8488949   1.4598479e-16               0
     0.62243661       1.9062118    1.386234e-16               0
     0.65646629       1.9605171   1.2532258e-16               0
     0.69172735       2.0113649   1.1188011e-16               0
     0.72826434       2.0582717   9.7899875e-17               0
     0.76612343       2.1006408   8.3755672e-17               0
     0.80535246       2.1378272   6.9599489e-17               0
     0.84600101       2.1691628   5.5263925e-17               0
     0.88812045       2.1939571    4.044428e-17               0
     0.93176398       2.2113981   2.4974895e-17               0
     0.97698677        2.220587    8.569076e-18               0
