face_id,zone_id,jos3_name,area_m2,cx_m,cy_m,cz_m
8003,4,Pelvis,0.000141336822599,0.08175074075,-0.1063775175,0.0998894305
8004,15,RLeg,0.000101372906064,0.0830387315,-0.1179035125,0.0980847375
8005,15,RLeg,0.000136487945846,0.1966234025,-0.1189859325,0.0561592365
8006,14,RThigh,0.000131812885294,0.1953133175,-0.1066014725,0.0667048865
8007,15,RLeg,0.000203536452399,0.1923866525,-0.11864401,0.08027280175
8008,15,RLeg,0.000136023451536,0.1959119275,-0.1188903325,0.06705755375
8009,15,RLeg,0.0002110768213,0.193337578,-0.13272405,0.08106736
8010,15,RLeg,8.30001614654e-05,0.1951882475,-0.143710145,0.0784756915
8011,14,RThigh,0.000205489992055,0.1768645475,-0.10647078,0.10156790125
8012,15,RLeg,0.000220207733885,0.177305965,-0.1188798975,0.10202941925
8013,11,LThigh,0.000154950346087,-0.1916242675,-0.068328364,0.069204599
8014,11,LThigh,0.000146894638904,-0.18991392,-0.08099524725,0.08111786825
8015,11,LThigh,0.000154994770754,-0.18837991,-0.06853913125,0.0810043525
8016,11,LThigh,8.99680229558e-05,-0.1789205225,-0.0696417065,0.09781971075
8017,4,Pelvis,0.000104811116565,-0.051962114,-0.09290652725,0.07901768525
8018,4,Pelvis,0.00010222663959,-0.071029344,-0.0926555705,0.09739191525
8019,4,Pelvis,0.000128637038,-0.070046951,-0.081270051,0.099740307
8020,4,Pelvis,0.00013440743194,-0.026569011,-0.055905235,0.055086256
8021,4,Pelvis,0.00022073015995,-0.0311025224,-0.054599288,0.068726391
8022,4,Pelvis,9.12987620846e-05,-0.029731267,-0.06582917125,0.053467801
8023,4,Pelvis,0.000119290686302,-0.03811131375,-0.056430284,0.079549398
8024,4,Pelvis,0.000119290686302,0.03811131375,-0.056430284,0.079549398
8025,4,Pelvis,0.000228869152598,0.0839777914,-0.0942834616,0.1030496298
8026,4,Pelvis,0.000227190883384,0.0817348878,-0.0792057062,0.105013376
8027,4,Pelvis,0.000227948997267,0.06972448275,-0.0563001265,0.1043831365
8028,14,RThigh,0.000219380923115,0.193332671667,-0.071887381,0.0562104548333
8029,14,RThigh,0.000221047321257,0.193276151667,-0.0823669821667,0.0678997891667
8030,14,RThigh,0.000209280880443,0.191515704,-0.0932099126,0.0785984436
8031,14,RThigh,0.000154950346087,0.1916242675,-0.068328364,0.069204599
8032,14,RThigh,0.000146894638904,0.18991392,-0.08099524725,0.08111786825
8033,14,RThigh,0.00020527346125,0.176035074,-0.0933043784,0.1014774484
8034,14,RThigh,0.000118933658502,0.178856185,-0.0812590845,0.099107104
8035,14,RThigh,0.000235763675801,0.168062865,-0.0684831145,0.105187651
8036,14,RThigh,0.000154994770754,0.18837991,-0.06853913125,0.0810043525
8037,14,RThigh,8.99680229558e-05,0.1789205225,-0.0696417065,0.09781971075
8038,11,LThigh,0.000212930588997,-0.164916812,-0.0433214868,0.1026797242
8039,5,LShoulder,0.000107691664355,-0.16708295,-0.03200706,0.0988083255
8040,5,LShoulder,0.000244342287408,-0.1682564,-0.0203018448,0.0933840844
