#      distance             U_x             U_y             U_z
    0.017468105     0.078641081   1.3218539e-16               0
    0.029606807      0.13225128   1.4103773e-16               0
    0.042184752      0.18709874    1.306241e-16               0
    0.055217834      0.24317339   1.2997799e-16               0
    0.068722522      0.30046326   1.2579422e-16               0
    0.082715881      0.35895203   1.2479099e-16               0
    0.097215595      0.41862176    1.222528e-16               0
     0.11223999      0.47944502   1.2338892e-16               0
     0.12780804      0.54138812   1.2523726e-16               0
     0.14393943      0.60441869   1.2705518e-16               0
     0.16065453      0.66848728   1.2929178e-16               0
     0.17797448       0.7335344   1.3105116e-16               0
     0.19592116      0.79950116   1.3377484e-16               0
     0.21451724      0.86631693   1.3742483e-16               0
     0.23378623      0.93389877   1.3958495e-16               0
     0.25375247       1.0021523     1.41664e-16               0
      0.2744412       1.0709742   1.4247962e-16               0
     0.29587856       1.1402562    1.485069e-16               0
     0.31809163       1.2098613   1.5787934e-16               0
     0.34110849       1.2796318   1.6646233e-16               0
     0.36495823        1.349392   1.6453869e-16               0
     0.38967097       1.4189537   1.8631246e-16               0
     0.41527795       1.4881163   2.1066699e-16               0
     0.44181153       1.5566514   2.0807487e-16               0
     0.46930524       1.6243331   1.9818396e-16               0
     0.49779381       1.6908879   1.6088874e-16               0
     0.52731325       1.7559848   1.2032117e-16               0
     0.55790087       1.8192594   1.0311847e-16               0
      0.5895953       1.8803398   9.0698987e-17               0
     0.62243661       1.9388477   8.0300017e-17               0
     0.65646629       1.9943604   7.3606074e-17               0
     0.69172735       2.0463691   6.2593882e-17               0
     0.72826434       2.0943148   5.3094785e-17               0
     0.76612343       2.1376335   4.2068931e-17               0
     0.80535246       2.1757069   3.2544081e-17               0
     0.84600101       2.2078291   2.3344205e-17               0
     0.88812045       2.2332014   1.5581941e-17               0
     0.93176398       2.2509958   8.9508626e-18               0
     0.97698677       2.2603561    2.998584e-18               0
