#      distance             U_x             U_y             U_z
    0.017468105     0.081326072   1.5350863e-16               0
    0.029606807      0.13679819   1.4244831e-16               0
    0.042184752         0.19357   1.4969841e-16               0
    0.055217834      0.25163435   1.3782835e-16               0
    0.068722522      0.31097973   1.3778617e-16               0
    0.082715881      0.37159084   1.3623668e-16               0
    0.097215595      0.43344787   1.3565828e-16               0
     0.11223999      0.49652472   1.3735036e-16               0
     0.12780804      0.56078986   1.3652387e-16               0
     0.14393943      0.62620509   1.4352271e-16               0
     0.16065453      0.69272284   1.5206546e-16               0
     0.17797448      0.76028606   1.5706522e-16               0
     0.19592116      0.82883114   1.5963261e-16               0
     0.21451724      0.89828626   1.6322839e-16               0
     0.23378623      0.96856788     1.66835e-16               0
     0.25375247       1.0395812   1.7212219e-16               0
      0.2744412       1.1112218   1.8222623e-16               0
     0.29587856       1.1833709   1.8996174e-16               0
     0.31809163       1.2558894    1.940088e-16               0
     0.34110849       1.3286149   1.9732455e-16               0
     0.36495823       1.4013661   2.0156869e-16               0
     0.38967097       1.4739473   1.9408066e-16               0
     0.41527795       1.5461453   1.9200086e-16               0
     0.44181153         1.61773   1.9310323e-16               0
     0.46930524        1.688449   1.8631199e-16               0
     0.49779381       1.7580126   1.5936644e-16               0
     0.52731325       1.8260829   1.2792956e-16               0
     0.55790087       1.8922864   1.1800713e-16               0
      0.5895953       1.9562301   9.5730566e-17               0
     0.62243661       2.0174999   8.0961296e-17               0
     0.65646629       2.0756369    6.952368e-17               0
     0.69172735       2.1301205   5.9577721e-17               0
     0.72826434       2.1803786   5.0716389e-17               0
     0.76612343       2.2258009   4.2661592e-17               0
     0.80535246       2.2657263   3.4906488e-17               0
     0.84600101       2.2994204   2.7363979e-17               0
     0.88812045       2.3260775   1.9932992e-17               0
     0.93176398        2.344829   1.2330049e-17               0
     0.97698677       2.3547265   4.3818296e-18               0
