time_min,original_TskMean,original_TskHead,original_TskChest,original_TskLFoot,original_TcrChest,embedded_TskMean,embedded_TskHead,embedded_TskChest,embedded_TskLFoot,embedded_TcrChest,coupled_zero_flux_TskMean,coupled_zero_flux_TskHead,coupled_zero_flux_TskChest,coupled_zero_flux_TskLFoot,coupled_zero_flux_TcrChest
0.0,34.5863370563138,35.04856096123076,34.73358934120301,34.24074245982154,36.87354378221181,34.5863370563138,35.04856096123076,34.73358934120301,34.24074245982154,36.87354378221181,34.5863370563138,35.04856096123076,34.73358934120301,34.24074245982154,36.87354378221181
1.0,34.693003420002576,35.051092949241834,34.881251809965725,34.49288915910611,36.86890461985806,34.693003420002576,35.051092949241834,34.881251809965725,34.49288915910611,36.86890461985806,34.693003420002576,35.051092949241834,34.881251809965725,34.49288915910611,36.86890461985806
2.0,34.77380753482127,35.04812017893395,34.999893206285506,34.68855955790444,36.86361456322401,34.77380753482127,35.04812017893395,34.999893206285506,34.68855955790444,36.86361456322401,34.77380753482127,35.04812017893395,34.999893206285506,34.68855955790444,36.86361456322401
3.0,34.83917899766145,35.044850839255346,35.10027199514143,34.84309531822883,36.85860284282435,34.83917899766145,35.044850839255346,35.10027199514143,34.84309531822883,36.85860284282435,34.83917899766145,35.044850839255346,35.10027199514143,34.84309531822883,36.85860284282435
4.0,34.894997873568656,35.043436208769826,35.18778646471463,34.971753426302435,36.85416618546555,34.894997873568656,35.043436208769826,35.18778646471463,34.971753426302435,36.85416618546555,34.894997873568656,35.043436208769826,35.18778646471463,34.971753426302435,36.85416618546555
5.0,34.94310035497854,35.042876726726085,35.263889369279894,35.082045645474544,36.85038158755478,34.94310035497854,35.042876726726085,35.263889369279894,35.082045645474544,36.85038158755478,34.94310035497854,35.042876726726085,35.263889369279894,35.082045645474544,36.85038158755478
6.0,34.98444105057467,35.04243739023257,35.329308354056515,35.17801359395618,36.847240351977206,34.98444105057467,35.04243739023257,35.329308354056515,35.17801359395618,36.847240351977206,34.98444105057467,35.04243739023257,35.329308354056515,35.17801359395618,36.847240351977206
7.0,35.01972398200536,35.041711231954174,35.38469945960588,35.26206982986536,36.844696998198756,35.01972398200536,35.041711231954174,35.38469945960588,35.26206982986536,36.844696998198756,35.01972398200536,35.041711231954174,35.38469945960588,35.26206982986536,36.844696998198756
8.0,35.04958901519852,35.04051767880364,35.43081408925189,35.33586163218605,36.84269052321548,35.04958901519852,35.04051767880364,35.43081408925189,35.33586163218605,36.84269052321548,35.04958901519852,35.04051767880364,35.43081408925189,35.33586163218605,36.84269052321548
9.0,35.07465495663525,35.038810796443315,35.46850623235206,35.40065807798117,36.84115505540505,35.07465495663525,35.038810796443315,35.46850623235206,35.40065807798117,36.84115505540505,35.07465495663525,35.038810796443315,35.46850623235206,35.40065807798117,36.84115505540505
10.0,35.095518963926565,35.03661828468505,35.498692488792535,35.45751967544607,36.84002560720744,35.095518963926565,35.03661828468505,35.498692488792535,35.45751967544607,36.84002560720744,35.095518963926565,35.03661828468505,35.498692488792535,35.45751967544607,36.84002560720744
11.0,35.11274554077248,35.034004221555456,35.52230498061154,35.507371886987876,36.83924120446174,35.11274554077248,35.034004221555456,35.52230498061154,35.507371886987876,36.83924120446174,35.11274554077248,35.034004221555456,35.52230498061154,35.507371886987876,36.83924120446174
12.0,35.126856061193386,35.031047102075206,35.540251134345255,35.55103749828225,36.83874647728822,35.126856061193386,35.031047102075206,35.540251134345255,35.55103749828225,36.83874647728822,35.126856061193386,35.031047102075206,35.540251134345255,35.55103749828225,36.83874647728822
13.0,35.13832189358352,35.027827257986594,35.553384212916285,35.58925208995623,36.838492307748766,35.13832189358352,35.027827257986594,35.553384212916285,35.58925208995623,36.838492307748766,35.13832189358352,35.027827257986594,35.553384212916285,35.58925208995623,36.838492307748766
14.0,35.14756137712469,35.0244199706066,35.56248444458733,35.62267298805769,36.838435894447755,35.14756137712469,35.0244199706066,35.56248444458733,35.62267298805769,36.838435894447755,35.14756137712469,35.0244199706066,35.56248444458733,35.62267298805769,36.838435894447755
15.0,35.154939969288655,35.02089203762549,35.56824909021099,35.651885927265475,36.838540465509716,35.154939969288655,35.02089203762549,35.56824909021099,35.651885927265475,36.838540465509716,35.154939969288655,35.02089203762549,35.56824909021099,35.651885927265475,36.838540465509716
16.0,35.160772675914885,35.0173004277689,35.57128939451109,35.67741101502428,36.838774793235714,35.160772675914885,35.0173004277689,35.57128939451109,35.67741101502428,36.838774793235714,35.160772675914885,35.0173004277689,35.57128939451109,35.67741101502428,36.838774793235714
17.0,35.16532794221392,35.013692176422765,35.57213246083257,35.69970849117843,36.83911261267926,35.16532794221392,35.013692176422765,35.57213246083257,35.69970849117843,36.83911261267926,35.16532794221392,35.013692176422765,35.57213246083257,35.69970849117843,36.83911261267926
18.0,35.16883233882069,35.01010498859685,35.571226378806415,35.71918435842904,36.83953201143945,35.16883233882069,35.01010498859685,35.571226378806415,35.71918435842904,36.83953201143945,35.16883233882069,35.01010498859685,35.571226378806415,35.71918435842904,36.83953201143945
19.0,35.17147554501563,35.006568209926165,35.56894727823995,35.73619582330807,36.84001483351964,35.17147554501563,35.006568209926165,35.56894727823995,35.73619582330807,36.84001483351964,35.17147554501563,35.006568209926165,35.56894727823995,35.73619582330807,36.84001483351964
20.0,35.17341528119123,35.003103950631704,35.565607312135164,35.75105646424836,36.84054612292663,35.17341528119123,35.003103950631704,35.565607312135164,35.75105646424836,36.84054612292663,35.17341528119123,35.003103950631704,35.565607312135164,35.75105646424836,36.84054612292663
21.0,35.174781964841685,34.99972822877246,35.561462857458366,35.76404105959851,36.84111362074985,35.174781964841685,34.99972822877246,35.561462857458366,35.76404105959851,36.84111362074985,35.174781964841685,34.99972822877246,35.561462857458366,35.76404105959851,36.84111362074985
22.0,35.175682958150624,34.99645205327063,35.556722454812906,35.775390034126076,36.84170732134869,35.175682958150624,34.99645205327063,35.556722454812906,35.775390034126076,36.84170732134869,35.175682958150624,34.99645205327063,35.556722454812906,35.775390034126076,36.84170732134869
