#      distance             U_x             U_y             U_z
    0.017468105     0.028172915   5.6559769e-18               0
    0.029606807     0.046751523   2.2604882e-17               0
    0.042184752     0.065365993   2.1732679e-17               0
    0.055217834     0.083982993   1.6701946e-17               0
    0.068722522      0.10258151   1.3989934e-17               0
    0.082715881      0.12113905   1.3587685e-17               0
    0.097215595      0.13962179   1.4178777e-17               0
     0.11223999      0.15800107   1.4668103e-17               0
     0.12780804      0.17624631   1.4937827e-17               0
     0.14393943      0.19430926   1.4063771e-17               0
     0.16065453        0.212158   1.4365293e-17               0
     0.17797448      0.22976135   1.5547967e-17               0
     0.19592116      0.24706816   1.7009919e-17               0
     0.21451724      0.26402812   1.8193371e-17               0
     0.23378623      0.28058993   2.0605032e-17               0
     0.25375247      0.29669966   2.2727611e-17               0
      0.2744412      0.31229825   2.4841533e-17               0
     0.29587856      0.32731592   2.6930263e-17               0
     0.31809163      0.34170902   2.6678261e-17               0
     0.34110849      0.35544657   2.6807076e-17               0
     0.36495823       0.3685006   2.7591215e-17               0
     0.38967097      0.38083455   2.8540525e-17               0
     0.41527795      0.39239519   3.0755563e-17               0
     0.44181153      0.40313906   3.1055544e-17               0
     0.46930524      0.41300034   2.8785694e-17               0
     0.49779381      0.42195524   3.3206078e-17               0
     0.52731325      0.43003062   3.7950616e-17               0
     0.55790087      0.43726558   3.3843403e-17               0
      0.5895953      0.44367406   2.8468278e-17               0
     0.62243661      0.44924099   2.5090905e-17               0
     0.65646629      0.45396758   2.2803224e-17               0
     0.69172735      0.45791131   2.1758645e-17               0
     0.72826434      0.46114751   2.0565609e-17               0
     0.76612343      0.46371657   1.9654205e-17               0
     0.80535246       0.4656616   1.8195816e-17               0
     0.84600101      0.46703937   1.4915234e-17               0
     0.88812045      0.46789052   1.0820989e-17               0
     0.93176398        0.468212    6.466375e-18               0
     0.97698677      0.46818346   2.1249465e-18               0
