#      distance             U_x             U_y             U_z
    0.017468105     0.089205844   8.1121323e-17               0
    0.029606807        0.150138   8.9326535e-17               0
    0.042184752      0.21255688   8.7758884e-17               0
    0.055217834      0.27645452   7.6810117e-17               0
    0.068722522      0.34182479    7.868515e-17               0
    0.082715881      0.40865609   7.6123263e-17               0
    0.097215595      0.47692557   7.7432815e-17               0
     0.11223999      0.54660984   7.6569956e-17               0
     0.12780804      0.61768036   8.0699553e-17               0
     0.14393943       0.6900899   8.3543746e-17               0
     0.16065453      0.76379461   8.8261462e-17               0
     0.17797448      0.83874263   9.1104543e-17               0
     0.19592116      0.91486222   9.3449715e-17               0
     0.21451724      0.99207572   9.4387559e-17               0
     0.23378623       1.0702941    9.758502e-17               0
     0.25375247       1.1494153   1.0180458e-16               0
      0.2744412       1.2293227   1.0709046e-16               0
     0.29587856       1.3098737    1.112625e-16               0
     0.31809163       1.3909199   1.1472288e-16               0
     0.34110849       1.4722921   1.1924605e-16               0
     0.36495823          1.5538   1.2626839e-16               0
     0.38967097       1.6352291   1.5361047e-16               0
     0.41527795       1.7163326   1.8194686e-16               0
     0.44181153       1.7968489   1.8135055e-16               0
     0.46930524       1.8764649   1.6202059e-16               0
     0.49779381       1.9548467   1.3704577e-16               0
     0.52731325       2.0316357   1.3226963e-16               0
     0.55790087       2.1064336   1.2959572e-16               0
      0.5895953        2.178791   1.1208993e-16               0
     0.62243661       2.2482016   9.7932641e-17               0
     0.65646629       2.3141134   8.7175332e-17               0
     0.69172735       2.3759413   7.5462284e-17               0
     0.72826434       2.4330445   6.4586377e-17               0
     0.76612343        2.484699   5.3768113e-17               0
     0.80535246       2.5301264   4.3463181e-17               0
     0.84600101       2.5685023    3.344689e-17               0
     0.88812045       2.5989539   2.3782382e-17               0
     0.93176398        2.620479   1.4336967e-17               0
     0.97698677       2.6318895   4.8431413e-18               0
