#      distance             U_x             U_y             U_z
    0.017468105     0.080232971  -3.9325494e-17               0
    0.029606807      0.13494617  -1.9842543e-17               0
    0.042184752      0.19093269  -2.0100534e-17               0
    0.055217834      0.24818515  -2.8822298e-17               0
    0.068722522      0.30669182  -3.0679275e-17               0
    0.082715881      0.36643696  -3.1696217e-17               0
    0.097215595      0.42740121  -3.3396622e-17               0
     0.11223999      0.48955797  -2.9457597e-17               0
     0.12780804      0.55287489  -2.9091024e-17               0
     0.14393943      0.61731554  -2.2180245e-17               0
     0.16065453      0.68283196  -1.7194064e-17               0
     0.17797448      0.74936677  -1.3486077e-17               0
     0.19592116      0.81685791  -9.0624804e-18               0
     0.21451724       0.8852338  -8.8585195e-18               0
     0.23378623       0.9544109  -1.4143059e-17               0
     0.25375247       1.0242942  -1.4016021e-17               0
      0.2744412        1.094779   -1.059148e-17               0
     0.29587856       1.1657491  -2.2605525e-18               0
     0.31809163       1.2370672      3.2741e-18               0
     0.34110849       1.3085735   5.8492111e-18               0
     0.36495823       1.3800906   1.4390365e-17               0
     0.38967097       1.4514269    3.452337e-17               0
     0.41527795       1.5223728   5.6508115e-17               0
     0.44181153       1.5926979   5.5116017e-17               0
     0.46930524       1.6621567   5.1638104e-17               0
     0.49779381       1.7304655   4.7220686e-17               0
     0.52731325       1.7972933   4.2668077e-17               0
     0.55790087       1.8622749   4.0957918e-17               0
      0.5895953       1.9250268   2.8637836e-17               0
     0.62243661       1.9851455   1.8704316e-17               0
     0.65646629       2.0421835   1.4421943e-17               0
     0.69172735       2.0956277   1.0451304e-17               0
     0.72826434       2.1449152   6.8535509e-18               0
     0.76612343       2.1894524   2.3051571e-18               0
     0.80535246       2.2285943  -7.8365803e-19               0
     0.84600101       2.2616216  -2.6634578e-18               0
     0.88812045       2.2877406  -3.3138297e-18               0
     0.93176398       2.3061028  -3.0179314e-18               0
     0.97698677        2.315789  -1.4121257e-18               0
