#      distance             U_x             U_y             U_z
    0.017468105     0.078269046    6.240993e-17               0
    0.029606807      0.13161811   6.9705962e-17               0
    0.042184752      0.18619222    6.601999e-17               0
    0.055217834      0.24198396   6.4007115e-17               0
    0.068722522      0.29898192   5.4108765e-17               0
    0.082715881      0.35717038   5.5822545e-17               0
    0.097215595       0.4165289   5.3711749e-17               0
     0.11223999      0.47703096   5.5572661e-17               0
     0.12780804      0.53864426    5.590754e-17               0
     0.14393943      0.60133068   6.1649567e-17               0
     0.16065453      0.66504413   6.8541708e-17               0
     0.17797448      0.72973021   7.0683564e-17               0
     0.19592116      0.79532682   7.0712846e-17               0
     0.21451724      0.86176226    7.221717e-17               0
     0.23378623      0.92895363    7.392271e-17               0
     0.25375247      0.99680645   7.5367292e-17               0
      0.2744412       1.0652147   7.6034743e-17               0
     0.29587856         1.13406   8.2203672e-17               0
     0.31809163       1.2032089   1.0741069e-16               0
     0.34110849       1.2725124    1.332311e-16               0
     0.36495823       1.3418043   1.4072917e-16               0
     0.38967097       1.4109007   1.5494012e-16               0
     0.41527795       1.4795954   1.6768819e-16               0
     0.44181153       1.5476596   1.6217824e-16               0
     0.46930524       1.6148446   1.4542451e-16               0
     0.49779381       1.6808749    1.162798e-16               0
     0.52731325        1.745445     8.64681e-17               0
     0.55790087       1.8082185   7.9601094e-17               0
      0.5895953       1.8688291   7.7671003e-17               0
     0.62243661       1.9268769   7.1718916e-17               0
     0.65646629       1.9819221   6.4612942e-17               0
     0.69172735       2.0334783   5.5968708e-17               0
     0.72826434       2.0810141      4.5843e-17               0
     0.76612343       2.1239547   3.5720906e-17               0
     0.80535246       2.1616735   2.6632872e-17               0
     0.84600101       2.1934823   1.8260223e-17               0
     0.88812045       2.2186288   1.1370002e-17               0
     0.93176398       2.2362979   5.8339894e-18               0
     0.97698677       2.2456098   1.5439847e-18               0
