#      distance             U_x             U_y             U_z
    0.017468105      0.19731446   5.6166918e-16               0
    0.029606807      0.33319825   5.6796631e-16               0
    0.042184752       0.4732005   5.0967025e-16               0
    0.055217834      0.61735089   5.2326873e-16               0
    0.068722522      0.76566594   5.0371515e-16               0
    0.082715881      0.91816174    5.117548e-16               0
    0.097215595       1.0748503   5.0291583e-16               0
     0.11223999       1.2357348   5.0873601e-16               0
     0.12780804       1.4008061   5.0486517e-16               0
     0.14393943       1.5700405     5.14573e-16               0
     0.16065453       1.7433966    5.127914e-16               0
     0.17797448       1.9208135   5.1735731e-16               0
     0.19592116       2.1022076    5.099313e-16               0
     0.21451724        2.287469   5.0267952e-16               0
     0.23378623       2.4764584   4.9057963e-16               0
     0.25375247       2.6690022   4.8555004e-16               0
      0.2744412       2.8648879   4.7958954e-16               0
     0.29587856        3.063859   4.9471104e-16               0
     0.31809163        3.265608    5.147555e-16               0
     0.34110849       3.4697701   5.4339201e-16               0
     0.36495823       3.6759153   5.5799699e-16               0
     0.38967097       3.8835402   5.4184769e-16               0
     0.41527795       4.0920604   5.3644885e-16               0
     0.44181153        4.300799   5.4705879e-16               0
     0.46930524       4.5089778   5.3579302e-16               0
     0.49779381       4.7157026   4.5633195e-16               0
     0.52731325       4.9199497    4.091864e-16               0
     0.55790087        5.120556   4.1104663e-16               0
      0.5895953       5.3162097   3.9024259e-16               0
     0.62243661       5.5054387   3.6520235e-16               0
     0.65646629       5.6865944   3.3086065e-16               0
     0.69172735       5.8578334   2.9477352e-16               0
     0.72826434       6.0171126     2.58712e-16               0
     0.76612343       6.1621884   2.2250482e-16               0
     0.80535246       6.2906025   1.8718771e-16               0
     0.84600101        6.399668   1.5126924e-16               0
     0.88812045       6.4864614     1.12611e-16               0
     0.93176398       6.5478331   7.0040907e-17               0
     0.97698677       6.5803714   2.3983337e-17               0
