time,field,initial,final
32.0,Uy,0.218226,0.0111589
33.0,Uy,0.186897,0.00873553
34.0,Uy,0.164789,0.00693774
35.0,Uy,0.165439,0.00700858
36.0,Uy,0.157313,0.00620854
37.0,Uy,0.147189,0.00602675
38.0,Uy,0.143463,0.00610686
39.0,Uy,0.157507,0.00651249
40.0,Uy,0.193643,0.00741952
41.0,Uy,0.213663,0.00774766
42.0,Uy,0.182007,0.00576955
43.0,Uy,0.139614,0.00384015
44.0,Uy,0.116212,0.00351714
45.0,Uy,0.107672,0.00382304
46.0,Uy,0.100753,0.00367311
47.0,Uy,0.0938411,0.00348242
48.0,Uy,0.0827147,0.00287486
49.0,Uy,0.0742962,0.00220414
50.0,Uy,0.0729924,0.00233597
51.0,Uy,0.0689117,0.002574
52.0,Uy,0.0650587,0.00246124
53.0,Uy,0.0552868,0.00185019
54.0,Uy,0.0467417,0.00130594
55.0,Uy,0.041254,0.00120306
56.0,Uy,0.0381639,0.00123543
57.0,Uy,0.036342,0.00132423
58.0,Uy,0.0317922,0.00111832
59.0,Uy,0.0279759,0.000922298
60.0,Uy,0.0264068,0.000803333
61.0,Uy,0.0248949,0.000763717
62.0,Uy,0.0224152,0.000777577
63.0,Uy,0.0179241,0.000717073
64.0,Uy,0.014657,0.000560498
65.0,Uy,0.0143623,0.000537744
66.0,Uy,0.0139684,0.000514871
67.0,Uy,0.012003,0.000410843
68.0,Uy,0.00918994,0.000338953
69.0,Uy,0.00736727,0.000286902
70.0,Uy,0.00703114,0.000286529
71.0,Uy,0.006701,0.000251239
72.0,Uy,0.00592193,0.000208032
73.0,Uy,0.00481225,0.000167497
74.0,Uy,0.00399638,0.000169623
75.0,Uy,0.00345631,0.000154613
76.0,Uy,0.00301691,0.000106922
77.0,Uy,0.00264422,7.59009e-05
78.0,Uy,0.00236787,7.38533e-05
79.0,Uy,0.00199408,6.80251e-05
80.0,Uy,0.00164444,6.01731e-05
81.0,Uy,0.00133548,5.21358e-05
82.0,Uy,0.00112589,4.09587e-05
83.0,Uy,0.000984962,3.1757e-05
84.0,Uy,0.000901903,2.9687e-05
