X,Y,Z,p,U_0,U_1,U_2
0.264362,0.198913,0.0559115,0.0,0.0,0.0,0.0
0.265683,0.198879,0.0559583,0.0,0.0,0.0,0.0
0.317522,0.244898,0.0554018,0.0,-5.75872e-40,2.8368e-40,1.387546e-39
0.318393,0.245833,0.055378,0.0,-7.75567e-40,3.57471e-40,2.01266e-39
0.319253,0.246785,0.0552744,0.0,-9.74043e-40,3.08964e-40,3.590605e-39
0.316043,0.241059,0.0559923,0.0,-9.3441e-41,7.2537e-41,1.66771e-40
0.316499,0.240717,0.0572547,0.0,-9.7815e-41,7.2115e-41,1.84443e-40
0.31558,0.239753,0.0571575,0.0,-4.9641e-41,4.7288e-41,8.4082e-41
0.319343,0.255577,0.0557665,0.0,-2.1295385e-37,-6.957339e-38,1.0622398e-36
0.318555,0.254879,0.0548788,0.0,-2.6633359e-37,-7.385301e-38,1.29482965e-36
0.31851,0.256946,0.0544421,0.0,-9.4454745e-37,3.77453e-37,3.8286742e-36
0.318377,0.257027,0.0557795,0.0,-1.1092923e-36,5.7794674e-37,4.359873e-36
0.31846,0.258895,0.055812,0.0,-5.3088084e-36,4.6613015e-36,1.984142e-35
0.317072,0.258866,0.0558854,0.0,-7.021e-36,5.1665807e-36,2.5690977e-35
0.317453,0.257416,0.0558646,0.0,-1.677062e-36,3.5094812e-37,6.22966e-36
0.318158,0.258913,0.054317,0.0,-5.320065e-36,4.6720175e-36,1.9883752e-35
0.315677,0.259277,0.0559109,0.0,-1.3289479e-35,9.035595e-36,4.964294e-35
0.315708,0.260789,0.0559729,0.0,-4.332005e-35,2.7198084e-35,1.9432765e-34
0.3144,0.260768,0.0559267,0.0,-6.881525e-35,6.282676e-35,3.6056071e-34
0.314548,0.259464,0.0559454,0.0,-2.3798824e-35,2.10378e-35,8.3263307e-35
0.318908,0.26074,0.0547697,0.0,-2.5818832e-35,1.9491258e-35,7.860631e-35
0.318378,0.260718,0.055907,0.0,-1.685892e-35,1.1431519e-35,6.7872315e-35
0.317069,0.256845,0.0564353,0.0,-1.0888102e-36,-3.5928645e-37,4.1176827e-36
0.31557,0.258261,0.0560477,0.0,-2.9114261e-36,-8.27488e-37,1.2307865e-35
0.315644,0.257327,0.0567874,0.0,-1.9174048e-36,-4.903558e-37,7.833258e-36
0.317626,0.255566,0.0568172,0.0,-3.6522654e-37,-1.2189315e-37,1.5999042e-36
0.318691,0.255297,0.0565032,0.0,-1.4118204e-37,-5.2853284e-38,7.3000587e-37
0.291018,0.273715,0.0555611,0.0,1.4597632e-30,8.5862456e-30,3.623528e-30
0.291813,0.274698,0.055586,0.0,1.4281563e-29,3.2732103e-29,-1.11891685e-29
0.291765,0.274291,0.054507,0.0,8.885035e-30,2.328163e-29,-4.7671513e-30
0.291264,0.273458,0.054895,0.0,1.36218e-30,8.92876e-30,3.55769e-30
0.291792,0.278082,0.0543217,0.0,2.5790554e-28,5.1369405e-28,-3.9076798e-28
0.291573,0.27603,0.054431,0.0,6.962585e-29,1.2916366e-28,-8.231962e-29
0.291931,0.276319,0.0557887,0.0,8.043677e-29,1.4838833e-28,-1.0387704e-28
0.292062,0.278072,0.0557667,0.0,2.7055856e-28,5.7898673e-28,-4.1402616e-28
0.237015,0.204118,0.0558525,0.0,0.0,0.0,-0.0
0.235932,0.204703,0.0558523,0.0,0.0,0.0,0.0
0.235928,0.202766,0.0555962,0.0,0.0,0.0,0.0
0.237151,0.202704,0.0558332,0.0,0.0,0.0,-0.0
0.246405,0.196281,0.0559603,0.0,0.0,0.0,0.0
0.246874,0.196641,0.0562705,0.0,0.0,0.0,0.0
0.245256,0.196856,0.0565633,0.0,0.0,0.0,0.0
