X,Y,Z,p,U_0,U_1,U_2
0.262486,0.280782,0.00908732,0.0,0.4,0.0,0.0
0.260977,0.280425,0.00966169,0.0,0.4,0.0,0.0
0.263931,0.278031,0.00810064,0.0,0.4,0.0,0.0
0.264021,0.279692,0.0085943,0.0,0.4,0.0,0.0
0.264405,0.27858,0.00864229,0.0,0.4,0.0,0.0
0.264095,0.280704,0.0090448,0.0,0.4,0.0,0.0
0.263002,0.245981,0.00617556,0.0,0.4,0.0,0.0
0.26321,0.246371,0.00653903,0.0,0.4,0.0,0.0
0.263995,0.245768,0.00610168,0.0,0.4,0.0,0.0
0.263993,0.246281,0.00657367,0.0,0.4,0.0,0.0
0.263932,0.247444,0.00651843,0.0,0.4,0.0,0.0
0.262945,0.255057,0.00423563,0.0,0.4,0.0,0.0
0.26276,0.256927,0.00419505,0.0,0.4,0.0,0.0
0.262068,0.258242,0.00435548,0.0,0.4,0.0,0.0
0.259242,0.268383,0.00489084,0.0,0.4,0.0,0.0
0.260706,0.26851,0.00592629,0.0,0.4,0.0,0.0
0.259493,0.25126,0.00661655,0.0,0.4,0.0,0.0
0.260922,0.250784,0.00687183,0.0,0.4,0.0,0.0
0.260938,0.251754,0.00755931,0.0,0.4,0.0,0.0
0.260957,0.253141,0.007558,0.0,0.4,0.0,0.0
0.259404,0.253186,0.0075647,0.0,0.4,0.0,0.0
0.259055,0.252678,0.00681257,0.0,0.4,0.0,0.0
0.260933,0.254637,0.00784568,0.0,0.4,0.0,0.0
0.262494,0.251245,0.00755736,0.0,0.4,0.0,0.0
0.261979,0.250497,0.00743065,0.0,0.4,0.0,0.0
0.259449,0.255077,0.00758241,0.0,0.4,0.0,0.0
0.262841,0.270495,0.0071814,0.0,0.4,0.0,0.0
0.262877,0.268551,0.00722669,0.0,0.4,0.0,0.0
0.262205,0.268568,0.00658148,0.0,0.4,0.0,0.0
0.262157,0.27052,0.0065685,0.0,0.4,0.0,0.0
0.262891,0.266627,0.00724379,0.0,0.4,0.0,0.0
0.262225,0.266638,0.00658628,0.0,0.4,0.0,0.0
0.262437,0.245372,0.00556805,0.0,0.4,0.0,0.0
0.263947,0.248857,0.00717763,0.0,0.4,0.0,0.0
0.254377,0.262321,0.00772842,0.0,0.4,0.0,0.0
0.254684,0.2608,0.00758542,0.0,0.4,0.0,0.0
0.255631,0.260157,0.00794293,0.0,0.4,0.0,0.0
0.254489,0.258913,0.00679481,0.0,0.4,0.0,0.0
0.254154,0.258349,0.00643936,0.0,0.4,0.0,0.0
0.255875,0.258817,0.00785438,0.0,0.4,0.0,0.0
0.255049,0.258875,0.00748135,0.0,0.4,0.0,0.0
0.256417,0.257115,0.00751721,0.0,0.4,0.0,0.0
0.265894,0.260874,0.00819321,0.0,0.4,0.0,0.0
0.265986,0.262786,0.00791152,0.0,0.4,0.0,0.0
0.267344,0.262733,0.00877506,0.0,0.4,0.0,0.0
0.266949,0.260926,0.00883013,0.0,0.4,0.0,0.0
0.266242,0.260319,0.00859957,0.0,0.4,0.0,0.0
0.265172,0.259086,0.0075849,0.0,0.4,0.0,0.0
0.265749,0.258996,0.00806913,0.0,0.4,0.0,0.0
0.255114,0.270517,0.00667329,0.0,0.4,0.0,0.0
0.254518,0.270495,0.00744732,0.0,0.4,0.0,0.0
0.25527,0.272272,0.00752868,0.0,0.4,0.0,0.0
0.256018,0.272822,0.00729595,0.0,0.4,0.0,0.0
0.255726,0.271162,0.00611743,0.0,0.4,0.0,0.0
0.264515,0.270578,0.0077989,0.0,0.4,0.0,0.0
0.264469,0.272457,0.00776789,0.0,0.4,0.0,0.0
0.265986,0.272442,0.0086352,0.0,0.4,0.0,0.0
0.266083,0.270567,0.00860905,0.0,0.4,0.0,0.0
0.265239,0.270556,0.0084401,0.0,0.4,0.0,0.0
0.265932,0.274378,0.0086394,0.0,0.4,0.0,0.0
0.264446,0.274384,0.00775383,0.0,0.4,0.0,0.0
0.265145,0.274374,0.00842212,0.0,0.4,0.0,0.0
0.265081,0.276207,0.00841345,0.0,0.4,0.0,0.0
0.264373,0.276253,0.00774062,0.0,0.4,0.0,0.0
0.264965,0.277439,0.0084017,0.0,0.4,0.0,0.0
0.265621,0.27815,0.00862585,0.0,0.4,0.0,0.0
0.257587,0.245056,0.00464372,0.0,0.4,0.0,0.0
0.256475,0.2456,0.00454551,0.0,0.4,0.0,0.0
0.256722,0.245979,0.00354007,0.0,0.4,0.0,0.0
0.257827,0.24586,0.00350487,0.0,0.4,0.0,0.0
0.26098,0.243999,0.00554777,0.0,0.4,0.0,0.0
0.260905,0.24531,0.00554639,0.0,0.4,0.0,0.0
0.259315,0.245262,0.00552142,0.0,0.4,0.0,0.0
0.259952,0.244248,0.00524232,0.0,0.4,0.0,0.0
0.25965,0.243873,0.00456955,0.0,0.4,0.0,0.0
0.258788,0.244543,0.00469471,0.0,0.4,0.0,0.0
0.259348,0.24541,0.00353838,0.0,0.4,0.0,0.0
0.260962,0.245524,0.003518,0.0,0.4,0.0,0.0
0.261008,0.244113,0.0035418,0.0,0.4,0.0,0.0
0.259886,0.244186,0.00352382,0.0,0.4,0.0,0.0
0.257797,0.24582,0.00544056,0.0,0.4,0.0,0.0
0.256758,0.246,0.0054141,0.0,0.4,0.0,0.0
0.254811,0.25112,0.00352531,0.0,0.4,0.0,0.0
0.254823,0.249305,0.00352379,0.0,0.4,0.0,0.0
0.253601,0.249333,0.00348926,0.0,0.4,0.0,0.0
0.253592,0.251116,0.00348022,0.0,0.4,0.0,0.0
0.252691,0.25109,0.00442917,0.0,0.4,0.0,0.0
0.25267,0.249204,0.00446486,0.0,0.4,0.0,0.0
0.253522,0.24789,0.00453932,0.0,0.4,0.0,0.0
0.253647,0.248014,0.00347253,0.0,0.4,0.0,0.0
0.254757,0.251123,0.00548585,0.0,0.4,0.0,0.0
0.25348,0.252999,0.00540842,0.0,0.4,0.0,0.0
0.253448,0.251079,0.00552751,0.0,0.4,0.0,0.0
0.255829,0.250612,0.00561349,0.0,0.4,0.0,0.0
0.256252,0.251148,0.00624483,0.0,0.4,0.0,0.0
0.25358,0.253069,0.00347496,0.0,0.4,0.0,0.0
0.254811,0.253059,0.00352406,0.0,0.4,0.0,0.0
0.253489,0.249265,0.00555214,0.0,0.4,0.0,0.0
0.254744,0.249224,0.00553859,0.0,0.4,0.0,0.0
0.259393,0.249195,0.00352929,0.0,0.4,0.0,0.0
0.257815,0.24919,0.00351082,0.0,0.4,0.0,0.0
0.257822,0.251124,0.00353611,0.0,0.4,0.0,0.0
0.259403,0.251132,0.00354291,0.0,0.4,0.0,0.0
0.259409,0.253068,0.00354281,0.0,0.4,0.0,0.0
0.260965,0.253063,0.00355292,0.0,0.4,0.0,0.0
0.260978,0.251137,0.00354529,0.0,0.4,0.0,0.0
0.262884,0.253524,0.00423797,0.0,0.4,0.0,0.0
0.262508,0.253045,0.00363035,0.0,0.4,0.0,0.0
0.262188,0.255039,0.00352094,0.0,0.4,0.0,0.0
0.260964,0.249204,0.00354539,0.0,0.4,0.0,0.0
0.257829,0.253066,0.00354322,0.0,0.4,0.0,0.0
0.25943,0.247794,0.00619964,0.0,0.4,0.0,0.0
0.258962,0.248782,0.0064897,0.0,0.4,0.0,0.0
0.257849,0.249267,0.00614394,0.0,0.4,0.0,0.0
