X,Y,Z,p,U_0,U_1,U_2
0.25608,0.240892,0.0391116,0.0,0.0,0.0,0.0
0.257902,0.241099,0.0401397,0.0,0.0,0.0,0.0
0.210906,0.192984,0.0438811,0.0,0.0,0.0,0.0
0.212098,0.192508,0.0438803,0.0,0.0,0.0,0.0
0.212524,0.191075,0.0438931,0.0,0.0,0.0,0.0
0.210891,0.19104,0.0438224,0.0,0.0,0.0,0.0
0.218353,0.186653,0.0438831,0.0,0.0,0.0,0.0
0.218742,0.185242,0.043926,0.0,0.0,0.0,0.0
0.217188,0.185796,0.0441881,0.0,0.0,0.0,0.0
0.21715,0.187161,0.0438511,0.0,0.0,0.0,0.0
0.205892,0.202664,0.0439061,0.0,0.0,0.0,0.0
0.20466,0.202674,0.0437825,0.0,0.0,0.0,0.0
0.258237,0.20068,0.044752,0.0,0.0,0.0,0.0
0.257426,0.200709,0.0448349,0.0,0.0,0.0,0.0
0.257318,0.198903,0.044836,0.0,0.0,0.0,0.0
0.258142,0.198831,0.044519,0.0,0.0,0.0,0.0
0.206107,0.229809,0.0468683,0.0,0.0,0.0,0.0
0.206669,0.231009,0.0472283,0.0,0.0,0.0,0.0
0.207694,0.231329,0.0468841,0.0,0.0,0.0,0.0
0.207744,0.229784,0.0468823,0.0,0.0,0.0,0.0
0.210817,0.233924,0.0481092,0.0,0.0,0.0,0.0
0.211763,0.234544,0.0479317,0.0,0.0,0.0,0.0
0.212395,0.233718,0.0468798,0.0,0.0,0.0,0.0
0.210883,0.233225,0.0469005,0.0,0.0,0.0,0.0
0.21245,0.231846,0.0469055,0.0,0.0,0.0,0.0
0.210898,0.231781,0.0468635,0.0,0.0,0.0,0.0
0.249933,0.233079,0.0428528,0.0,0.0,0.0,0.0
0.249967,0.233926,0.0422741,0.0,0.0,0.0,0.0
0.248633,0.234367,0.0427851,0.0,0.0,0.0,0.0
0.248463,0.233447,0.0427763,0.0,0.0,0.0,0.0
0.243826,0.232105,0.0452281,0.0,0.0,0.0,0.0
0.242843,0.232573,0.0455531,0.0,0.0,0.0,0.0
0.242576,0.232207,0.0458478,0.0,0.0,0.0,0.0
0.243904,0.231499,0.0459155,0.0,0.0,0.0,0.0
0.306871,0.293864,0.0456575,0.0,0.0,0.0,0.0
0.307064,0.29203,0.0458199,0.0,0.0,0.0,0.0
0.256382,0.198772,0.0499124,0.0,0.0,0.0,0.0
0.256313,0.200791,0.0499171,0.0,0.0,0.0,0.0
0.257804,0.200847,0.0498313,0.0,0.0,0.0,0.0
0.257785,0.199429,0.0502337,0.0,0.0,0.0,0.0
0.320095,0.27034,0.0537231,0.0,0.0,0.0,0.0
0.319634,0.270362,0.0539541,0.0,0.0,0.0,0.0
0.319807,0.268525,0.054241,0.0,0.0,0.0,0.0
0.319979,0.268509,0.0529736,0.0,0.0,0.0,0.0
0.31351,0.284029,0.0508713,0.0,0.0,0.0,0.0
0.313555,0.285972,0.0508979,0.0,0.0,0.0,0.0
0.313627,0.286015,0.051212,0.0,0.0,0.0,0.0
0.314218,0.284143,0.051029,0.0,0.0,0.0,0.0
0.293744,0.29409,0.05395,0.0,0.0,0.0,0.0
0.292169,0.294094,0.0539265,0.0,0.0,0.0,0.0
0.292176,0.293031,0.0539091,0.0,0.0,0.0,0.0
0.292185,0.291654,0.0539186,0.0,0.0,0.0,0.0
0.293747,0.291656,0.0539147,0.0,0.0,0.0,0.0
0.312254,0.287838,0.0499267,0.0,0.0,0.0,0.0
0.312054,0.286038,0.0499976,0.0,0.0,0.0,0.0
0.310877,0.286047,0.049898,0.0,0.0,0.0,0.0
0.311228,0.287907,0.0499383,0.0,0.0,0.0,0.0
0.31372,0.293602,0.0502656,0.0,0.0,0.0,0.0
0.312938,0.293693,0.0497954,0.0,0.0,0.0,0.0
0.313397,0.295714,0.0498966,0.0,0.0,0.0,0.0
0.313745,0.294861,0.0503824,0.0,0.0,0.0,0.0
0.312752,0.29593,0.0509675,0.0,0.0,0.0,0.0
0.313533,0.294919,0.0510007,0.0,0.0,0.0,0.0
0.265214,0.212374,0.0438238,0.0,0.0,0.0,0.0
0.263975,0.212374,0.0438212,0.0,0.0,0.0,0.0
0.263974,0.21043,0.0438224,0.0,0.0,0.0,0.0
0.265215,0.210428,0.0438232,0.0,0.0,0.0,0.0
0.26521,0.208483,0.0438101,0.0,0.0,0.0,0.0
0.263977,0.208489,0.0438235,0.0,0.0,0.0,0.0
0.199258,0.212447,0.0478486,0.0,0.0,0.0,0.0
0.199814,0.212428,0.0496835,0.0,0.0,0.0,0.0
0.200219,0.212391,0.0498612,0.0,0.0,0.0,0.0
0.200206,0.210442,0.0498604,0.0,0.0,0.0,0.0
0.275002,0.290703,0.0178024,0.0,0.0,0.0,0.0
0.275023,0.290484,0.0168288,0.0,0.0,0.0,0.0
0.273308,0.290603,0.0169321,0.0,0.0,0.0,0.0
0.273243,0.290779,0.0178806,0.0,0.0,0.0,0.0
0.300023,0.297787,0.0279414,0.0,0.0,0.0,0.0
0.300134,0.297783,0.0296602,0.0,0.0,0.0,0.0
0.298933,0.298256,0.029693,0.0,0.0,0.0,0.0
0.298429,0.297542,0.0290048,0.0,0.0,0.0,0.0
0.301035,0.312971,0.0352821,0.0,0.0,0.0,0.0
0.300816,0.315028,0.0353189,0.0,0.0,0.0,0.0
0.300851,0.314554,0.0345503,0.0,0.0,0.0,0.0
0.30112,0.3129,0.0345593,0.0,0.0,0.0,0.0
0.311244,0.330557,0.0310488,0.0,0.0,0.0,0.0
0.311217,0.328704,0.0313313,0.0,0.0,0.0,0.0
0.309768,0.328627,0.0301961,0.0,0.0,0.0,0.0
0.309317,0.330384,0.0303587,0.0,0.0,0.0,0.0
0.234355,0.191075,0.0408603,0.0,0.0,0.0,0.0
0.234772,0.192431,0.0408338,0.0,0.0,0.0,0.0
0.235893,0.192416,0.040847,0.0,0.0,0.0,0.0
0.235951,0.19105,0.0407936,0.0,0.0,0.0,0.0
0.237421,0.191039,0.0407989,0.0,0.0,0.0,0.0
0.238656,0.190616,0.0408763,0.0,0.0,0.0,0.0
0.239105,0.189694,0.0412397,0.0,0.0,0.0,0.0
0.239034,0.189101,0.0418312,0.0,0.0,0.0,0.0
0.237493,0.188992,0.041851,0.0,0.0,0.0,0.0
0.22172,0.206575,0.040753,0.0,0.0,0.0,0.0
0.222987,0.207045,0.0408304,0.0,0.0,0.0,0.0
0.22352,0.206438,0.0408065,0.0,0.0,0.0,0.0
0.223556,0.204524,0.0407764,0.0,0.0,0.0,0.0
0.221533,0.204542,0.0409588,0.0,0.0,0.0,0.0
0.222103,0.208449,0.0407999,0.0,0.0,0.0,0.0
0.223044,0.208415,0.0408297,0.0,0.0,0.0,0.0
0.274405,0.20667,0.0405828,0.0,0.0,0.0,0.0
0.273826,0.206672,0.0400122,0.0,0.0,0.0,0.0
0.274056,0.208442,0.0400013,0.0,0.0,0.0,0.0
0.274677,0.208382,0.040465,0.0,0.0,0.0,0.0
0.275112,0.204846,0.042687,0.0,0.0,0.0,0.0
0.274501,0.2055,0.0406899,0.0,0.0,0.0,0.0
0.275036,0.204752,0.0397797,0.0,0.0,0.0,0.0
0.298565,0.305531,0.0412769,0.0,0.0,0.0,0.0
0.2996,0.304941,0.0409153,0.0,0.0,0.0,0.0
0.299599,0.302953,0.0416571,0.0,0.0,0.0,0.0
0.298429,0.303446,0.0418369,0.0,0.0,0.0,0.0
0.298142,0.305011,0.0418737,0.0,0.0,0.0,0.0
0.263983,0.206585,0.043868,0.0,0.0,0.0,0.0
0.265877,0.20661,0.0428704,0.0,0.0,0.0,0.0
0.26595,0.208499,0.0430131,0.0,0.0,0.0,0.0
0.268703,0.198947,0.0529802,0.0,0.0,0.0,0.0
0.269133,0.20063,0.0529147,0.0,0.0,0.0,0.0
0.270399,0.200649,0.0529389,0.0,0.0,0.0,0.0
0.270305,0.198919,0.0531909,0.0,0.0,0.0,0.0
0.201803,0.222008,0.0496206,0.0,0.0,0.0,0.0
0.201497,0.221967,0.0487842,0.0,0.0,0.0,0.0
0.200766,0.220616,0.048777,0.0,0.0,0.0,0.0
0.20152,0.220038,0.0496689,0.0,0.0,0.0,0.0
0.202539,0.220651,0.0499032,0.0,0.0,0.0,0.0
0.202743,0.222068,0.0498538,0.0,0.0,0.0,0.0
0.203029,0.223953,0.0497816,0.0,0.0,0.0,0.0
0.201922,0.223261,0.0496095,0.0,0.0,0.0,0.0
0.285812,0.220133,0.0529079,0.0,0.0,0.0,0.0
0.285827,0.222031,0.0529032,0.0,0.0,0.0,0.0
0.287024,0.220146,0.0528926,0.0,0.0,0.0,0.0
0.26089,0.235901,0.0529625,0.0,0.0,0.0,0.0
0.260994,0.237183,0.0529318,0.0,0.0,0.0,0.0
0.262518,0.237046,0.0528791,0.0,0.0,0.0,0.0
0.262473,0.235543,0.0529235,0.0,0.0,0.0,0.0
0.264098,0.235552,0.0529277,0.0,0.0,0.0,0.0
0.264067,0.236982,0.0528447,0.0,0.0,0.0,0.0
0.285825,0.227828,0.0529288,0.0,0.0,0.0,0.0
0.28705,0.227791,0.0528656,0.0,0.0,0.0,0.0
0.299973,0.313599,0.0498387,0.0,0.0,0.0,0.0
0.301593,0.313637,0.049811,0.0,0.0,0.0,0.0
0.301598,0.315126,0.049728,0.0,0.0,0.0,0.0
0.300463,0.314612,0.049699,0.0,0.0,0.0,0.0
0.253711,0.272456,0.0132661,0.0,0.0,0.0,0.0
0.253757,0.272422,0.0141102,0.0,0.0,0.0,0.0
0.253801,0.274433,0.0140124,0.0,0.0,0.0,0.0
0.253761,0.274167,0.0126903,0.0,0.0,0.0,0.0
0.25376,0.272445,0.012662,0.0,0.0,0.0,0.0
0.264323,0.274365,0.0206391,0.0,0.0,0.0,0.0
0.264373,0.272487,0.020695,0.0,0.0,0.0,0.0
0.265431,0.272553,0.020625,0.0,0.0,0.0,0.0
0.265363,0.274362,0.0206149,0.0,0.0,0.0,0.0
0.265588,0.270151,0.0198735,0.0,0.0,0.0,0.0
0.267233,0.269646,0.0199879,0.0,0.0,0.0,0.0
0.267223,0.270483,0.0206213,0.0,0.0,0.0,0.0
0.26572,0.270998,0.0206438,0.0,0.0,0.0,0.0
0.265343,0.276305,0.0206181,0.0,0.0,0.0,0.0
0.26431,0.276316,0.0206297,0.0,0.0,0.0,0.0
0.280823,0.28978,0.0177864,0.0,0.0,0.0,0.0
0.279592,0.289751,0.0176316,0.0,0.0,0.0,0.0
0.289179,0.30319,0.0268482,0.0,0.0,0.0,0.0
0.289997,0.303965,0.0274315,0.0,0.0,0.0,0.0
0.290003,0.305433,0.0273134,0.0,0.0,0.0,0.0
0.289924,0.305915,0.0262804,0.0,0.0,0.0,0.0
0.28858,0.303833,0.0263485,0.0,0.0,0.0,0.0
0.266598,0.19995,0.0376985,0.0,0.0,0.0,0.0
0.266745,0.198677,0.0379559,0.0,0.0,0.0,0.0
0.265577,0.198684,0.0377528,0.0,0.0,0.0,0.0
0.265624,0.200044,0.0384505,0.0,0.0,0.0,0.0
0.268757,0.226286,0.0379503,0.0,0.0,0.0,0.0
0.267593,0.226457,0.0378593,0.0,0.0,0.0,0.0
0.267208,0.227891,0.0379103,0.0,0.0,0.0,0.0
0.267633,0.228416,0.0385364,0.0,0.0,0.0,0.0
0.268692,0.227955,0.0387563,0.0,0.0,0.0,0.0
0.269298,0.226655,0.0383528,0.0,0.0,0.0,0.0
0.265205,0.214311,0.043805,0.0,0.0,0.0,0.0
0.263976,0.214315,0.0438222,0.0,0.0,0.0,0.0
0.265193,0.216174,0.0438437,0.0,0.0,0.0,0.0
0.266009,0.214312,0.0431442,0.0,0.0,0.0,0.0
0.265963,0.216222,0.04311,0.0,0.0,0.0,0.0
0.2673,0.21432,0.0428369,0.0,0.0,0.0,0.0
0.267276,0.216266,0.0428004,0.0,0.0,0.0,0.0
0.25321,0.227919,0.0438824,0.0,0.0,0.0,0.0
0.253212,0.226004,0.043805,0.0,0.0,0.0,0.0
0.254698,0.225926,0.0435972,0.0,0.0,0.0,0.0
0.254278,0.227268,0.0437339,0.0,0.0,0.0,0.0
0.26566,0.232157,0.042708,0.0,0.0,0.0,0.0
0.264075,0.232159,0.0426832,0.0,0.0,0.0,0.0
0.264071,0.229645,0.0428328,0.0,0.0,0.0,0.0
0.26564,0.229641,0.0428266,0.0,0.0,0.0,0.0
0.304641,0.293382,0.0437889,0.0,0.0,0.0,0.0
0.303104,0.292354,0.0439595,0.0,0.0,0.0,0.0
0.303126,0.293432,0.0437599,0.0,0.0,0.0,0.0
