X,Y,Z,p,U_0,U_1,U_2
0.306122,0.309094,0.0388029,0.0,-5.1779607e-17,-1.4123838e-17,-1.16518e-16
0.306055,0.324902,0.0390654,0.0,-3.104351e-18,-4.7384975e-18,-6.8734598e-18
0.218283,0.184686,0.0444585,0.0,0.0,0.0,0.0
0.231274,0.185018,0.0448573,0.0,0.0,0.0,0.0
0.243881,0.184969,0.0450228,0.0,0.0,0.0,0.0
0.206192,0.200728,0.0448253,0.0,0.0,0.0,0.0
0.218718,0.200728,0.0448882,0.0,0.0,0.0,0.0
0.231236,0.200718,0.0449472,0.0,0.0,0.0,0.0
0.256691,0.200732,0.0453949,0.0,0.0,0.0,0.0
0.206151,0.216301,0.0447617,0.0,0.0,0.0,0.0
0.218705,0.216291,0.0448848,0.0,0.0,0.0,0.0
0.243837,0.216308,0.045045,0.0,0.0,0.0,0.0
0.255964,0.215945,0.0448359,0.0,0.0,0.0,0.0
0.218117,0.232622,0.0443573,0.0,0.0,0.0,0.0
0.231242,0.231833,0.0448612,0.0,0.0,0.0,0.0
0.243826,0.232105,0.0452281,0.0,0.0,0.0,0.0
0.307209,0.293976,0.0451291,0.0,0.0,0.0,0.0
0.293448,0.309393,0.0448441,0.0,1.1126476e-21,-2.8542673e-21,-2.6147481e-20
0.306258,0.309263,0.045005,0.0,-1.4894214e-18,-6.5437483e-19,-6.616116e-18
0.206259,0.200742,0.0509045,0.0,0.0,0.0,0.0
0.218722,0.200728,0.0510637,0.0,0.0,0.0,0.0
0.231221,0.200709,0.0511524,0.0,0.0,0.0,0.0
0.243778,0.200672,0.0510647,0.0,0.0,0.0,0.0
0.256307,0.200698,0.0507509,0.0,0.0,0.0,0.0
0.205783,0.216278,0.0515214,0.0,0.0,0.0,0.0
0.218703,0.216252,0.0510764,0.0,0.0,0.0,0.0
0.231236,0.216262,0.0511166,0.0,0.0,0.0,0.0
0.256218,0.216178,0.0508443,0.0,0.0,0.0,0.0
0.26823,0.21614,0.0509065,0.0,0.0,0.0,0.0
0.218714,0.231757,0.0510837,0.0,0.0,-0.0,0.0
0.23122,0.231852,0.0511047,0.0,0.0,0.0,0.0
0.243842,0.231869,0.0507941,0.0,0.0,0.0,0.0
0.256225,0.231164,0.0509124,0.0,0.0,0.0,0.0
0.306233,0.278042,0.0509511,0.0,0.0,0.0,0.0
0.293685,0.293776,0.0511133,0.0,7.091111e-24,8.060799e-24,-2.9386883e-23
0.306311,0.293781,0.0510914,0.0,-3.500219e-23,7.031792e-23,-1.8732695e-22
0.306196,0.309121,0.0509037,0.0,0.0,0.0,0.0
0.243673,0.200615,0.0572296,0.0,0.0,0.0,0.0
0.256324,0.20068,0.0573759,0.0,0.0,0.0,0.0
0.243662,0.216349,0.0570673,0.0,0.0,0.0,0.0
0.256864,0.216867,0.0576291,0.0,0.0,0.0,0.0
0.268683,0.216185,0.0572264,0.0,0.0,0.0,0.0
0.281285,0.216207,0.0570746,0.0,0.0,0.0,0.0
0.293762,0.216299,0.0569257,0.0,0.0,0.0,0.0
0.256376,0.231599,0.0569257,0.0,0.0,0.0,0.0
0.268724,0.231764,0.0571752,0.0,0.0,0.0,0.0
0.281249,0.231745,0.0568441,0.0,4.3e-44,7.8e-44,3.8e-44
0.293735,0.231721,0.056991,0.0,1.46e-43,1.086e-42,4.8e-44
0.306387,0.231694,0.0569209,0.0,-2.54e-43,6.42e-43,-4.3e-44
0.281212,0.247298,0.0569133,0.0,8.222633e-39,1.4505037e-38,8.474701e-39
0.29375,0.247247,0.0571087,0.0,4.2786272e-38,2.2532274e-37,3.7398375e-38
0.306255,0.247338,0.057153,0.0,-3.3768984e-38,7.5140544e-38,1.006285e-37
0.318981,0.247331,0.0571207,0.0,-9.4394e-40,1.37889e-40,3.663511e-39
0.293744,0.262732,0.0571883,0.0,3.9956592e-33,1.2035096e-32,1.3720141e-32
0.262154,0.246839,0.00622168,0.0,0.4,0.0,0.0
0.256262,0.25502,0.00589408,0.0,3.5270715,-0.07772837,0.4923145
0.256272,0.270804,0.00564227,0.0,0.4,0.0,0.0
0.262619,0.270521,0.00873113,0.0,-3.000112,0.03093397,-0.41530332
0.262512,0.262849,0.0121849,0.0,0.0,0.0,0.0
0.256137,0.27043,0.0121401,0.0,0.33610567,0.11265205,0.07390085
0.268972,0.270391,0.0118858,0.0,-0.43031207,0.013632057,-0.021865794
0.262392,0.278463,0.011724,0.0,-0.04182827,0.06913416,0.0007933615
0.262467,0.270329,0.0152286,0.0,-0.26707125,0.010080099,0.0061998656
0.268642,0.285491,0.0117728,0.0,0.0,0.0,0.0
0.262552,0.285919,0.0149881,0.0,0.0,0.0,0.0
0.275212,0.286096,0.0146397,0.0,-0.0004892995,-0.00016067436,-8.062098e-05
0.268909,0.269774,0.0183413,0.0,0.0,0.0,0.0
0.262354,0.278329,0.018277,0.0,-0.024066905,0.0067933733,0.0037433254
0.275201,0.278106,0.0179525,0.0,-0.004727634,-0.00013856603,-0.0013400964
0.268521,0.286424,0.0182222,0.0,-0.0026856195,-0.0003217551,-0.0004285191
0.281008,0.286008,0.0176606,0.0,0.0,0.0,0.0
0.274931,0.286121,0.0211349,0.0,-0.00078154495,-0.0002794049,-0.00033839073
0.275233,0.278508,0.0239179,0.0,0.0,0.0,0.0
0.281235,0.28597,0.0241328,0.0,-3.470007e-05,-1.0397572e-05,-1.856131e-05
0.287493,0.293714,0.0239562,0.0,-4.313946e-07,-2.7351254e-07,-1.5881496e-07
0.28758,0.286981,0.0267374,0.0,0.0,0.0,0.0
0.293806,0.301518,0.0238048,0.0,-4.67317e-10,-3.9433407e-10,-5.781659e-11
0.287597,0.301281,0.0267355,0.0,0.0,0.0,0.0
0.300288,0.301559,0.0267228,0.0,0.0,0.0,0.0
0.300047,0.317332,0.0266961,0.0,0.0,0.0,0.0
0.300031,0.309271,0.0299157,0.0,-3.8967183e-13,-4.0488703e-13,-2.7518246e-13
0.306877,0.31654,0.0297726,0.0,0.0,0.0,0.0
0.29973,0.317052,0.0331452,0.0,0.0,0.0,0.0
0.312449,0.332503,0.0329029,0.0,0.0,0.0,0.0
0.250006,0.192878,0.0388491,0.0,0.0,0.0,0.0
0.262557,0.192921,0.0389442,0.0,-0.0,0.0,0.0
0.237151,0.208518,0.0386885,0.0,0.0,0.0,0.0
0.250003,0.208494,0.0391821,0.0,0.0,0.0,0.0
0.262526,0.208456,0.0387427,0.0,0.0,0.0,0.0
0.237464,0.224022,0.0390674,0.0,0.0,0.0,0.0
0.250011,0.224016,0.0389979,0.0,0.0,0.0,0.0
0.262507,0.224021,0.0391632,0.0,0.0,0.0,0.0
0.249532,0.240209,0.038609,0.0,0.0,0.0,0.0
0.26246,0.239586,0.0396131,0.0,0.0,0.0,0.0
0.31285,0.3092,0.0357825,0.0,0.0,0.0,0.0
0.312466,0.30201,0.039019,0.0,0.0,0.0,0.0
0.306057,0.316957,0.0359452,0.0,-2.1147635e-16,-2.1906758e-16,-3.5426544e-16
0.299481,0.317017,0.0386587,0.0,0.0,0.0,0.0
0.312831,0.32477,0.0361458,0.0,0.0,0.0,0.0
0.31285,0.317008,0.0390752,0.0,0.0,0.0,0.0
0.305738,0.332943,0.0360964,0.0,0.0,0.0,0.0
0.311959,0.331888,0.0391985,0.0,0.0,0.0,0.0
0.218823,0.193122,0.041828,0.0,0.0,0.0,0.0
0.212977,0.201418,0.041921,0.0,0.0,0.0,0.0
0.21243,0.192921,0.0447482,0.0,0.0,0.0,0.0
0.231229,0.193017,0.0417759,0.0,0.0,0.0,0.0
0.224975,0.200755,0.0418906,0.0,0.0,0.0,0.0
0.224974,0.192952,0.0448897,0.0,0.0,0.0,0.0
0.243738,0.192891,0.0418531,0.0,0.0,0.0,0.0
0.237478,0.200737,0.0418722,0.0,0.0,0.0,0.0
0.237533,0.192903,0.0449455,0.0,0.0,0.0,0.0
0.256357,0.192899,0.0422042,0.0,-0.0,0.0,0.0
0.250043,0.200698,0.0421012,0.0,0.0,0.0,0.0
0.250163,0.192867,0.0451919,0.0,0.0,0.0,0.0
0.26251,0.200731,0.0420604,0.0,-0.0,0.0,0.0
0.218152,0.207692,0.0414065,0.0,0.0,0.0,0.0
0.212456,0.21626,0.0418265,0.0,0.0,0.0,0.0
0.21246,0.208498,0.0448739,0.0,0.0,0.0,0.0
0.231244,0.208497,0.0418448,0.0,0.0,0.0,0.0
0.225081,0.21627,0.0419284,0.0,0.0,0.0,0.0
0.224974,0.208496,0.04492,0.0,0.0,0.0,0.0
0.243758,0.208487,0.0420313,0.0,0.0,0.0,0.0
