#      distance             U_x             U_y             U_z
    0.017468105     0.069314199   1.7846522e-16               0
    0.029606807      0.11644124   1.7300251e-16               0
    0.042184752      0.16458054   1.6328225e-16               0
    0.055217834      0.21371679   1.6075663e-16               0
    0.068722522      0.26383942   1.5869699e-16               0
    0.082715881      0.31493321   1.5739711e-16               0
    0.097215595      0.36697074   1.5894768e-16               0
     0.11223999      0.41992677   1.5649011e-16               0
     0.12780804      0.47377227   1.5959804e-16               0
     0.14393943      0.52845785   1.5875017e-16               0
     0.16065453      0.58394342   1.5993504e-16               0
     0.17797448      0.64018394   1.6258436e-16               0
     0.19592116      0.69711321   1.6172986e-16               0
     0.21451724      0.75466284   1.6182644e-16               0
     0.23378623      0.81275713    1.615301e-16               0
     0.25375247      0.87131135   1.6236344e-16               0
      0.2744412      0.93022905   1.6537781e-16               0
     0.29587856      0.98939066   1.7037013e-16               0
     0.31809163       1.0486815   1.8690097e-16               0
     0.34110849       1.1079758   2.0459861e-16               0
     0.36495823        1.167134   2.0384858e-16               0
     0.38967097       1.2259992    2.056775e-16               0
     0.41527795       1.2843875   2.0886972e-16               0
     0.44181153       1.3421115   2.0321363e-16               0
     0.46930524       1.3989385   1.8774681e-16               0
     0.49779381        1.454635   1.5511784e-16               0
     0.52731325       1.5089679   1.2599327e-16               0
     0.55790087       1.5616806   1.1756111e-16               0
      0.5895953       1.6124736   1.1915125e-16               0
     0.62243661       1.6609993   1.1609584e-16               0
     0.65646629       1.7068864   1.0617034e-16               0
     0.69172735       1.7497637   9.5953139e-17               0
     0.72826434       1.7892284    8.553825e-17               0
     0.76612343       1.8248054   7.3508081e-17               0
     0.80535246       1.8559861   6.1241311e-17               0
     0.84600101       1.8822408   4.8956946e-17               0
     0.88812045       1.9030054   3.6349758e-17               0
     0.93176398       1.9176007   2.2442186e-17               0
     0.97698677       1.9252698   7.6001995e-18               0
