#      distance             U_x             U_y             U_z
    0.017468105      0.21532564   7.9495674e-16               0
    0.029606807        0.363533   7.0294038e-16               0
    0.042184752       0.5162265   6.8992567e-16               0
    0.055217834      0.67347914   6.6297857e-16               0
    0.068722522      0.83532867   7.0151866e-16               0
    0.082715881       1.0018035   6.7309072e-16               0
    0.097215595        1.172926   6.9534439e-16               0
     0.11223999       1.3487099   6.8203094e-16               0
     0.12780804       1.5291568   6.9227764e-16               0
     0.14393943       1.7142529   6.8726624e-16               0
     0.16065453       1.9039655   6.9831677e-16               0
     0.17797448       2.0982404   7.0522487e-16               0
     0.19592116       2.2969976   7.0773788e-16               0
     0.21451724       2.5001282   7.0856258e-16               0
     0.23378623       2.7074891   7.0345388e-16               0
     0.25375247       2.9188988   7.0138608e-16               0
      0.2744412       3.1341309   6.8962726e-16               0
     0.29587856       3.3529085   6.9196611e-16               0
     0.31809163       3.5748963   7.6178855e-16               0
     0.34110849       3.7996932   8.4148981e-16               0
     0.36495823       4.0268234   8.8340723e-16               0
     0.38967097       4.2557267    9.590255e-16               0
     0.41527795       4.4857489   1.0364277e-15               0
     0.44181153         4.71613   1.0592624e-15               0
     0.46930524       4.9459929   1.0517741e-15               0
     0.49779381       5.1743304   1.0117029e-15               0
     0.52731325       5.3999923   9.4273887e-16               0
     0.55790087        5.621673   8.6319747e-16               0
      0.5895953       5.8378987   7.9169915e-16               0
     0.62243661        6.047015   7.3280007e-16               0
     0.65646629       6.2471746    6.703517e-16               0
     0.69172735       6.4363258   6.0386118e-16               0
     0.72826434       6.6122042    5.326159e-16               0
     0.76612343       6.7723265   4.5718604e-16               0
     0.80535246       6.9139852   3.7790089e-16               0
     0.84600101        7.034243   2.9738683e-16               0
     0.88812045       7.1299207   2.1509174e-16               0
     0.93176398       7.1975608   1.3084279e-16               0
     0.97698677       7.2333791   4.4151824e-17               0
