#      distance             U_x             U_y             U_z
    0.017468105     0.035120426   2.7220986e-17               0
    0.029606807      0.05853034   4.3577591e-17               0
    0.042184752     0.082157625   4.8006729e-17               0
    0.055217834      0.10596444   3.6321652e-17               0
    0.068722522      0.12992492   3.6145276e-17               0
    0.082715881      0.15401597   3.3930709e-17               0
    0.097215595      0.17821158   3.5413927e-17               0
     0.11223999      0.20248211   3.4005777e-17               0
     0.12780804      0.22679434   3.5253426e-17               0
     0.14393943      0.25111145   3.3234121e-17               0
     0.16065453      0.27539381   3.3620685e-17               0
     0.17797448      0.29959871   3.3906447e-17               0
     0.19592116         0.32368   3.6207765e-17               0
     0.21451724      0.34758855   3.7581468e-17               0
     0.23378623       0.3712724   3.8775992e-17               0
     0.25375247      0.39467682   4.0351502e-17               0
      0.2744412      0.41774457   4.0958606e-17               0
     0.29587856       0.4404162   3.9641235e-17               0
     0.31809163      0.46263074   4.3626878e-17               0
     0.34110849      0.48432636   4.6993449e-17               0
     0.36495823      0.50544036   4.9725578e-17               0
     0.38967097      0.52590953   4.9898899e-17               0
     0.41527795      0.54567135   4.5313166e-17               0
     0.44181153      0.56466423   4.1887968e-17               0
     0.46930524      0.58282871   4.3259443e-17               0
     0.49779381      0.60010794   4.4388128e-17               0
     0.52731325      0.61644801   4.1522963e-17               0
     0.55790087      0.63179785    3.585165e-17               0
      0.5895953      0.64611015   2.7155488e-17               0
     0.62243661      0.65934192   2.0884341e-17               0
     0.65646629       0.6714543   1.5963864e-17               0
     0.69172735      0.68240894   1.3835619e-17               0
     0.72826434      0.69216925   1.2211227e-17               0
     0.76612343      0.70070008   1.1584159e-17               0
     0.80535246      0.70795524    1.116691e-17               0
     0.84600101      0.71385703   1.0341971e-17               0
     0.88812045      0.71827264   8.6605946e-18               0
     0.93176398      0.72107724   5.9646839e-18               0
     0.97698677       0.7223666    2.273683e-18               0
