#      distance             U_x             U_y             U_z
    0.017468105     0.074403927   6.8757897e-17               0
    0.029606807      0.12506829   9.1698244e-17               0
    0.042184752      0.17689557   8.7913752e-17               0
    0.055217834      0.22985517   7.8953946e-17               0
    0.068722522      0.28392595   6.9570002e-17               0
    0.082715881      0.33909063   7.5026032e-17               0
    0.097215595      0.39532885   7.1636269e-17               0
     0.11223999      0.45261479   7.6476125e-17               0
     0.12780804       0.5109164   7.4691325e-17               0
     0.14393943      0.57019476   8.0827557e-17               0
     0.16065453      0.63040431   8.8520179e-17               0
     0.17797448      0.69149211   9.2722631e-17               0
     0.19592116      0.75339674   9.6815183e-17               0
     0.21451724      0.81604795   9.9674524e-17               0
     0.23378623      0.87936585   1.0166254e-16               0
     0.25375247      0.94326001   1.0382757e-16               0
      0.2744412       1.0076285   1.0959236e-16               0
     0.29587856        1.072357   1.1537497e-16               0
     0.31809163       1.1373177   1.1910489e-16               0
     0.34110849       1.2023688   1.2228923e-16               0
     0.36495823       1.2673525   1.3047134e-16               0
     0.38967097       1.3320934   1.4480092e-16               0
     0.41527795       1.3963981   1.4985364e-16               0
     0.44181153       1.4600531    1.400381e-16               0
     0.46930524       1.5228244   1.2873873e-16               0
     0.49779381       1.5844545   1.0802776e-16               0
     0.52731325       1.6446604   8.7641099e-17               0
     0.55790087       1.7031313   8.0641267e-17               0
      0.5895953       1.7595285   6.9464187e-17               0
     0.62243661       1.8134838   6.2470346e-17               0
     0.65646629        1.864596   5.8842838e-17               0
     0.69172735       1.9124234   5.4145201e-17               0
     0.72826434       1.9564843   4.8055674e-17               0
     0.76612343       1.9962566   4.0798117e-17               0
     0.80535246       2.0311616   3.3536035e-17               0
     0.84600101       2.0605425   2.6716327e-17               0
     0.88812045       2.0836499   2.0165584e-17               0
     0.93176398       2.0997134   1.2453102e-17               0
     0.97698677       2.1080841   4.2230869e-18               0
