#      distance             U_x             U_y             U_z
    0.017468105     0.097813384   1.8728375e-17               0
    0.029606807      0.16472167   3.0230358e-17               0
    0.042184752      0.23332271   3.5823782e-17               0
    0.055217834      0.30361165   2.3593247e-17               0
    0.068722522      0.37558388   2.1123717e-17               0
    0.082715881      0.44922912   1.8374115e-17               0
    0.097215595      0.52452693   1.7705061e-17               0
     0.11223999      0.60145454   1.8782991e-17               0
     0.12780804      0.67998334   1.7474279e-17               0
     0.14393943      0.76006803   1.6954781e-17               0
     0.16065453      0.84166281    1.615596e-17               0
     0.17797448      0.92471236   1.8846922e-17               0
     0.19592116       1.0091433    2.337121e-17               0
     0.21451724        1.094874   2.9037498e-17               0
     0.23378623       1.1818096    3.357414e-17               0
     0.25375247       1.2698405   3.9400523e-17               0
      0.2744412        1.358841   4.4541527e-17               0
     0.29587856       1.4486604   5.2108575e-17               0
     0.31809163       1.5391348   7.5518314e-17               0
     0.34110849       1.6300766   9.9885805e-17               0
     0.36495823        1.721273   1.0818695e-16               0
     0.38967097       1.8124845   1.2479033e-16               0
     0.41527795       1.9034377   1.3881408e-16               0
     0.44181153       1.9938381   1.3962206e-16               0
     0.46930524       2.0833406   1.2385701e-16               0
     0.49779381       2.1715678   8.6153837e-17               0
     0.52731325       2.2581051   4.5094576e-17               0
     0.55790087       2.3424902   2.1581894e-17               0
      0.5895953       2.4242089   7.3700094e-18               0
     0.62243661       2.5026892   1.9270391e-19               0
     0.65646629       2.5773027   1.6759786e-18               0
     0.69172735       2.6473686   4.5669329e-18               0
     0.72826434       2.7121392   7.9504652e-18               0
     0.76612343        2.770783    1.074419e-17               0
     0.80535246       2.8224013   1.1659887e-17               0
     0.84600101       2.8660316   1.0745776e-17               0
     0.88812045       2.9006548    8.412246e-18               0
     0.93176398       2.9251399   5.8458864e-18               0
     0.97698677       2.9381439   2.3617036e-18               0
