#      distance             U_x             U_y             U_z
    0.017468105      0.09560359   7.9479736e-17               0
    0.029606807      0.16098158    7.977367e-17               0
    0.042184752      0.22800035   7.5719266e-17               0
    0.055217834      0.29665469   7.4732793e-17               0
    0.068722522      0.36693893   7.5109109e-17               0
    0.082715881      0.43884201    6.874365e-17               0
    0.097215595      0.51234394   7.1211094e-17               0
     0.11223999      0.58742149   6.9081299e-17               0
     0.12780804      0.66404559   7.4384774e-17               0
     0.14393943      0.74217274   7.6339479e-17               0
     0.16065453      0.82175688     7.98587e-17               0
     0.17797448      0.90274238   8.5054828e-17               0
     0.19592116      0.98505781   8.8704546e-17               0
     0.21451724       1.0686232   9.2334754e-17               0
     0.23378623       1.1533451   9.4882853e-17               0
     0.25375247       1.2391157   9.7098832e-17               0
      0.2744412       1.3258121    9.986327e-17               0
     0.29587856       1.4132887   1.0212215e-16               0
     0.31809163       1.5013852   1.1366695e-16               0
     0.34110849       1.5899179   1.3567963e-16               0
     0.36495823       1.6786787     1.47605e-16               0
     0.38967097       1.7674341    1.462235e-16               0
     0.41527795       1.8559195   1.4604765e-16               0
     0.44181153        1.943848   1.4300459e-16               0
     0.46930524       2.0308877   1.3236359e-16               0
     0.49779381       2.1166737   1.0182749e-16               0
     0.52731325       2.2008007   6.7558301e-17               0
     0.55790087       2.2828177   5.9094095e-17               0
      0.5895953       2.3622267   5.7044207e-17               0
     0.62243661       2.4384778   5.5731963e-17               0
     0.65646629       2.5109655   5.1413116e-17               0
     0.69172735       2.5790277   4.4331256e-17               0
     0.72826434       2.6419368   3.7428315e-17               0
     0.76612343       2.6988896   3.1218281e-17               0
     0.80535246       2.7490134   2.6314107e-17               0
     0.84600101        2.791362   2.1535631e-17               0
     0.88812045       2.8249249   1.5940742e-17               0
     0.93176398       2.8486054   1.0309104e-17               0
     0.97698677       2.8611528   3.7454915e-18               0
