Time,Flowrate
0,8.12807881773399E-05
0.0005,8.12807881773399E-05
0.001,0.000243021346469622
0.0015,0.000486042692939245
0.002,0.000810344827586207
0.0025,0.00121510673234811
0.003,0.00170114942528736
0.0035,0.00226847290640394
0.004,0.00291625615763547
0.0045,0.00364532019704433
0.005,0.00445566502463054
0.0055,0.00534646962233169
0.006,0.00631855500821018
0.0065,0.00737192118226601
0.007,0.00850656814449918
0.0075,0.00972167487684729
0.008,0.0110172413793103
0.0085,0.0123949096880131
0.009,0.0138530377668309
0.0095,0.0153924466338259
0.01,0.017012315270936
0.0105,0.0187134646962233
0.011,0.020495894909688
0.0115,0.02235960591133
0.012,0.024303776683087
0.0125,0.0263284072249589
0.013,0.0284351395730706
0.0135,0.0306223316912972
0.014,0.0328908045977011
0.0145,0.03523973727422
0.015,0.0376707717569787
0.0155,0.0401814449917898
0.016,0.0427742200328407
0.0165,0.0454474548440066
0.017,0.0482019704433498
0.0175,0.0510377668308703
0.018,0.0539868637110016
0.0185,0.0571223316912972
0.019,0.0604417077175698
0.0195,0.0639458128078818
0.02,0.0676354679802956
0.0205,0.0715114942528736
0.021,0.075580459770115
0.0215,0.0798407224958949
0.022,0.0842931034482759
0.0225,0.0889384236453202
0.023,0.0937750410509031
0.0235,0.098803776683087
0.024,0.104025451559934
0.0245,0.10943842364532
0.025,0.115043513957307
0.0255,0.12076026272578
0.026,0.126587848932677
0.0265,0.132526272577997
0.027,0.138576354679803
0.0275,0.144737274220033
0.028,0.151009031198686
0.0285,0.157392446633826
0.029,0.163886699507389
0.0295,0.170466338259442
0.03,0.177114942528736
0.0305,0.183833333333333
0.031,0.190620689655172
0.0315,0.197477832512315
0.032,0.204403940886699
0.0325,0.211399014778325
0.033,0.218463875205254
0.0335,0.225597701149425
0.034,0.232800492610837
0.0345,0.240073070607553
0.035,0.247414614121511
0.0355,0.254825944170772
0.036,0.262309523809524
0.0365,0.269866995073892
0.037,0.277497536945813
0.0375,0.285201149425287
0.038,0.292977832512315
0.0385,0.300827586206897
0.039,0.308751231527094
0.0395,0.316747947454844
0.04,0.324817733990148
0.0405,0.332960591133005
0.041,0.34108210180624
0.0415,0.349161740558292
0.042,0.357200328407225
0.0425,0.365197044334975
0.043,0.373118226600985
0.0435,0.380893267651888
0.044,0.388523809523809
0.0445,0.396008210180624
0.045,0.403347290640394
0.0455,0.410538587848933
0.046,0.417577175697865
0.0465,0.424463054187192
0.047,0.431195402298851
0.0475,0.437775862068966
0.048,0.444202791461412
0.0485,0.450477832512315
0.049,0.45659934318555
0.0495,0.462568144499179
0.05,0.468384236453202
0.0505,0.474047619047619
0.051,0.479557471264368
0.0515,0.484915435139573
0.052,0.49011986863711
0.0525,0.495172413793103
0.053,0.500071428571429
0.0535,0.504817733990148
0.054,0.509415435139573
0.0545,0.513887520525452
0.055,0.518252052545156
0.0555,0.522508210180624
0.056,0.526656814449918
0.0565,0.530696223316913
0.057,0.534628078817734
0.0575,0.538451559934318
0.058,0.542167487684729
0.0585,0.545774220032841
0.059,0.549273399014778
0.0595,0.552664203612479
0.06,0.555945812807882
0.0605,0.559114942528736
0.061,0.562169129720854
0.0615,0.565107553366174
0.062,0.567930213464696
0.0625,0.57063711001642
0.063,0.573229064039409
0.0635,0.575704433497537
0.064,0.578064860426929
0.0645,0.580309523809524
0.065,0.582432676518883
0.0655,0.584413793103448
0.066,0.586347290640394
0.0665,0.588253694581281
0.067,0.590133825944171
0.0675,0.591986042692939
0.068,0.593811986863711
0.0685,0.595610016420361
0.069,0.597381773399015
0.0695,0.599126436781609
0.07,0.600844006568144
0.0705,0.602533661740558
0.071,0.604197044334975
0.0715,0.605833333333333
0.072,0.607442528735632
0.0725,0.609024630541872
0.073,0.610580459770115
0.0735,0.612108374384236
0.074,0.613609195402299
0.0745,0.615082922824302
0.075,0.616529556650246
0.0755,0.617948275862069
0.076,0.619337438423645
0.0765,0.620697044334975
0.077,0.622027093596059
0.0775,0.623328407224959
0.078,0.624600164203612
0.0785,0.625841543513957
0.079,0.627051724137931
0.0795,0.628229064039409
0.08,0.629374384236453
0.0805,0.630487684729064
0.081,0.631568965517241
0.0815,0.632618226600985
0.082,0.633634646962233
0.0825,0.63461986863711
0.083,0.635572249589491
0.0835,0.636493431855501
0.084,0.637381773399015
0.0845,0.638230706075534
0.085,0.639039408866995
0.0855,0.639808702791461
0.086,0.640540229885057
0.0865,0.641232348111658
0.087,0.641886699507389
0.0875,0.642502463054187
0.088,0.64307881773399
0.0885,0.643617405582923
0.089,0.644117405582923
0.0895,0.644577996715928
0.09,0.645006568144499
0.0905,0.645422824302135
0.091,0.645825944170772
0.0915,0.646217569786535
0.092,0.646596880131363
0.0925,0.646964696223317
0.093,0.647319376026273
0.0935,0.647653530377668
0.094,0.647966338259442
0.0945,0.648256157635468
0.095,0.648523809523809
0.0955,0.648769293924466
0.096,0.648992610837438
0.0965,0.649192939244663
0.097,0.649371921182266
0.0975,0.649527914614122
0.098,0.649661740558292
0.0985,0.649772577996716
0.099,0.649862068965517
0.0995,0.649928571428571
0.1,0.649972906403941
0.1005,0.64999671592775
0.101,0.65
0.1015,0.649983579638752
0.102,0.649946633825944
0.1025,0.649889983579639
0.103,0.649813628899836
0.1035,0.64971592775041
0.104,0.64959934318555
0.1045,0.64946223316913
0.105,0.649258620689655
0.1055,0.648964696223317
0.106,0.648579638752053
0.1065,0.648103448275862
0.107,0.647536124794745
0.1075,0.646878489326765
0.108,0.646128899835796
0.1085,0.645288998357964
0.109,0.64435960591133
0.1095,0.643348111658457
