#      distance             U_x             U_y             U_z
    0.017468105      0.08733687   1.3947918e-16               0
    0.029606807      0.14698417   1.3750917e-16               0
    0.042184752       0.2080794   1.3591203e-16               0
    0.055217834      0.27061382   1.2759005e-16               0
    0.068722522      0.33457646   1.2600495e-16               0
    0.082715881      0.39995231   1.2234396e-16               0
    0.097215595      0.46672515   1.2416367e-16               0
     0.11223999      0.53486822   1.2524044e-16               0
     0.12780804       0.6043482   1.2535436e-16               0
     0.14393943      0.67513293   1.3333504e-16               0
     0.16065453      0.74716996   1.4184114e-16               0
     0.17797448      0.82039512   1.4636783e-16               0
     0.19592116      0.89474665   1.4720755e-16               0
     0.21451724      0.97015169   1.4900463e-16               0
     0.23378623       1.0465242   1.5133127e-16               0
     0.25375247       1.1237664   1.5476877e-16               0
      0.2744412       1.2017714   1.5983937e-16               0
     0.29587856       1.2804246   1.6382301e-16               0
     0.31809163       1.3595724    1.571696e-16               0
     0.34110849       1.4390318   1.4901506e-16               0
     0.36495823       1.5185971   1.4923187e-16               0
     0.38967097       1.5980515   1.4871304e-16               0
     0.41527795       1.6771697    1.488778e-16               0
     0.44181153       1.7556998   1.4443918e-16               0
     0.46930524       1.8333913   1.2481651e-16               0
     0.49779381       1.9099264   1.0100948e-16               0
     0.52731325       1.9849051   9.4980305e-17               0
     0.55790087       2.0578831    9.422808e-17               0
      0.5895953       2.1284178   8.3419483e-17               0
     0.62243661       2.1960701   7.2529302e-17               0
     0.65646629       2.2603485   6.1591675e-17               0
     0.69172735       2.3206511   5.2883657e-17               0
     0.72826434       2.3763124   4.4918292e-17               0
     0.76612343       2.4266643   3.7837006e-17               0
     0.80535246       2.4709776    3.141072e-17               0
     0.84600101       2.5084161   2.4430537e-17               0
     0.88812045       2.5380384   1.7639633e-17               0
     0.93176398       2.5588735   1.1101887e-17               0
     0.97698677       2.5698775   3.8459035e-18               0
