#      distance             U_x             U_y             U_z
    0.017468105     0.080329454   1.5293334e-18               0
    0.029606807      0.13510831   1.7766655e-17               0
    0.042184752        0.191161   1.3051465e-17               0
    0.055217834      0.24848082   6.0956901e-18               0
    0.068722522      0.30705804   6.7777282e-18               0
    0.082715881      0.36687853   4.6055181e-18               0
    0.097215595      0.42791791   3.6947948e-18               0
     0.11223999      0.49015212   6.6431696e-18               0
     0.12780804      0.55355272   6.0308886e-18               0
     0.14393943      0.61807205   1.3241765e-17               0
     0.16065453      0.68366789   2.1133974e-17               0
     0.17797448      0.75029116   2.6279832e-17               0
     0.19592116      0.81787287   2.8533428e-17               0
     0.21451724      0.88634039    3.080603e-17               0
     0.23378623      0.95561146   3.3809753e-17               0
     0.25375247        1.025593   3.8860975e-17               0
      0.2744412        1.096179   4.7693015e-17               0
     0.29587856       1.1672378    4.969435e-17               0
     0.31809163       1.2386359   5.9595559e-17               0
     0.34110849       1.3102227   7.9127159e-17               0
     0.36495823       1.3818303   8.7958869e-17               0
     0.38967097       1.4532677   1.0939357e-16               0
     0.41527795       1.5243175   1.2990885e-16               0
     0.44181153       1.5947559   1.3184328e-16               0
     0.46930524       1.6643025   1.1836374e-16               0
     0.49779381       1.7326672   9.6706733e-17               0
     0.52731325       1.7995468   8.8304862e-17               0
     0.55790087       1.8646055   9.9270892e-17               0
      0.5895953       1.9274596   1.0384513e-16               0
     0.62243661       1.9876705   9.2860973e-17               0
     0.65646629       2.0447634   8.2878998e-17               0
     0.69172735       2.0982523   7.3910856e-17               0
     0.72826434       2.1476066   6.4998573e-17               0
     0.76612343       2.1922063   5.6957235e-17               0
     0.80535246        2.231382   4.8941575e-17               0
     0.84600101       2.2644218   4.0263191e-17               0
     0.88812045       2.2905735   3.0404369e-17               0
     0.93176398       2.3089806    1.925936e-17               0
     0.97698677       2.3186929   6.8463075e-18               0
