#      distance             U_x             U_y             U_z
    0.017468105               0               0               0
    0.029606807               0               0               0
    0.042184752               0               0               0
    0.055217834               0               0               0
    0.068722522               0               0               0
    0.082715881               0               0               0
    0.097215595               0               0               0
     0.11223999               0               0               0
     0.12780804               0               0               0
     0.14393943               0               0               0
     0.16065453               0               0               0
     0.17797448               0               0               0
     0.19592116               0               0               0
     0.21451724               0               0               0
     0.23378623               0               0               0
     0.25375247               0               0               0
      0.2744412               0               0               0
     0.29587856               0               0               0
     0.31809163               0               0               0
     0.34110849               0               0               0
     0.36495823               0               0               0
     0.38967097               0               0               0
     0.41527795               0               0               0
     0.44181153               0               0               0
     0.46930524               0               0               0
     0.49779381               0               0               0
     0.52731325               0               0               0
     0.55790087               0               0               0
      0.5895953               0               0               0
     0.62243661               0               0               0
     0.65646629               0               0               0
     0.69172735               0               0               0
     0.72826434               0               0               0
     0.76612343               0               0               0
     0.80535246               0               0               0
     0.84600101               0               0               0
     0.88812045               0               0               0
     0.93176398               0               0               0
     0.97698677               0               0               0
