#      distance             U_x             U_y             U_z
    0.017468105     0.044605699   8.2384071e-17               0
    0.029606807     0.074586567   8.8613344e-17               0
    0.042184752      0.10499142   8.6191614e-17               0
    0.055217834      0.13579531   8.1021933e-17               0
    0.068722522      0.16698201   7.9129746e-17               0
    0.082715881      0.19853196   7.7760028e-17               0
    0.097215595      0.23041231   7.8190498e-17               0
     0.11223999      0.26259568   7.8930031e-17               0
     0.12780804      0.29505242   7.8730038e-17               0
     0.14393943      0.32773073   8.3174655e-17               0
     0.16065453      0.36059585   8.6369442e-17               0
     0.17797448      0.39361204   8.8514627e-17               0
     0.19592116       0.4267203   8.8946515e-17               0
     0.21451724      0.45986307   9.0434503e-17               0
     0.23378623      0.49298016   9.0110794e-17               0
     0.25375247      0.52600658   9.0914629e-17               0
      0.2744412      0.55886906   9.0231483e-17               0
     0.29587856      0.59147513   9.1816947e-17               0
     0.31809163      0.62375286   9.8763558e-17               0
     0.34110849      0.65563264   1.0791858e-16               0
     0.36495823      0.68704117   1.1448948e-16               0
     0.38967097      0.71789366   1.1826895e-16               0
     0.41527795      0.74808248    1.212884e-16               0
     0.44181153      0.77750849   1.1969711e-16               0
     0.46930524      0.80603505   1.1327052e-16               0
     0.49779381      0.83355376   9.6222191e-17               0
     0.52731325       0.8599905   7.7150252e-17               0
     0.55790087      0.88526885   6.6387891e-17               0
      0.5895953      0.90927682   5.9604705e-17               0
     0.62243661      0.93186261   5.3962982e-17               0
     0.65646629      0.95287717   4.7576342e-17               0
     0.69172735      0.97221462   4.0156286e-17               0
     0.72826434       0.9897687   3.3674987e-17               0
     0.76612343       1.0053761   2.8073999e-17               0
     0.80535246       1.0188666   2.2201768e-17               0
     0.84600101       1.0300815   1.6733286e-17               0
     0.88812045       1.0388498   1.1644368e-17               0
     0.93176398       1.0449061    6.884591e-18               0
     0.97698677       1.0480048   2.2411679e-18               0
