#      distance             U_x             U_y             U_z
    0.017468105      0.13873125   9.9010712e-17               0
    0.029606807      0.23400306   1.2084751e-16               0
    0.042184752      0.33197245   1.0878532e-16               0
    0.055217834       0.4326275   9.6691604e-17               0
    0.068722522      0.53595697   8.5219648e-17               0
    0.082715881      0.64195211   8.4582006e-17               0
    0.097215595      0.75059992   8.0615266e-17               0
     0.11223999      0.86187917   8.6646137e-17               0
     0.12780804       0.9757582   8.6138889e-17               0
     0.14393943       1.0921934   9.9112363e-17               0
     0.16065453       1.2111281    1.140177e-16               0
     0.17797448       1.3324912   1.2108254e-16               0
     0.19592116       1.4561949   1.2774389e-16               0
     0.21451724       1.5821328   1.2841533e-16               0
     0.23378623        1.710178   1.2628944e-16               0
     0.25375247       1.8401805   1.2647783e-16               0
      0.2744412       1.9719641   1.2553565e-16               0
     0.29587856       2.1053239   1.2845667e-16               0
     0.31809163       2.2400224   1.3432962e-16               0
     0.34110849       2.3757864   1.3837013e-16               0
     0.36495823       2.5123029   1.5562897e-16               0
     0.38967097       2.6492136   1.9199411e-16               0
     0.41527795       2.7861127   2.2922235e-16               0
     0.44181153       2.9225406   2.4003335e-16               0
     0.46930524       3.0579803    2.274164e-16               0
     0.49779381       3.1918493   2.3635505e-16               0
     0.52731325       3.3234938   2.3699438e-16               0
     0.55790087        3.452183   2.0165387e-16               0
      0.5895953       3.5771065    1.746304e-16               0
     0.62243661       3.6973688   1.5427738e-16               0
     0.65646629       3.8119807   1.3817832e-16               0
     0.69172735       3.9198462   1.2401924e-16               0
     0.72826434       4.0197618   1.0821469e-16               0
     0.76612343       4.1104164   9.2414886e-17               0
     0.80535246       4.1903742   7.6432077e-17               0
     0.84600101       4.2580543   6.0217423e-17               0
     0.88812045       4.3117167   4.3864274e-17               0
     0.93176398       4.3495034   2.6790499e-17               0
     0.97698677       4.3694733   8.8989086e-18               0
