#      distance             U_x             U_y             U_z
    0.017468105     0.081566552   2.1098217e-16               0
    0.029606807      0.13720517   2.0195677e-16               0
    0.042184752      0.19414864    1.984133e-16               0
    0.055217834      0.25239011   1.9336917e-16               0
    0.068722522      0.31191877   1.9228411e-16               0
    0.082715881      0.37271999   1.9137245e-16               0
    0.097215595      0.43477218   1.8972254e-16               0
     0.11223999      0.49805018   1.8840219e-16               0
     0.12780804      0.56252392   1.8662991e-16               0
     0.14393943       0.6281511   1.8442803e-16               0
     0.16065453      0.69488614   1.8344369e-16               0
     0.17797448      0.76267488   1.8161683e-16               0
     0.19592116      0.83145109   1.8060145e-16               0
     0.21451724      0.90114252   1.8110488e-16               0
     0.23378623      0.97166607   1.8114887e-16               0
     0.25375247       1.0429276   1.8324765e-16               0
      0.2744412       1.1148222   1.9061771e-16               0
     0.29587856       1.1872253   1.9368255e-16               0
     0.31809163       1.2599989   1.8404952e-16               0
     0.34110849       1.3329831   1.8122151e-16               0
     0.36495823       1.4059991   1.8763703e-16               0
     0.38967097       1.4788511   1.8960911e-16               0
     0.41527795       1.5513223   1.8522567e-16               0
     0.44181153       1.6231848   1.8378324e-16               0
     0.46930524       1.6941731   1.8908116e-16               0
     0.49779381        1.763994   1.9175924e-16               0
     0.52731325       1.8323178   1.9303025e-16               0
     0.55790087       1.8987797   1.8614785e-16               0
      0.5895953       1.9629849   1.6782689e-16               0
     0.62243661        2.024505   1.5350522e-16               0
     0.65646629       2.0828697    1.403454e-16               0
     0.69172735       2.1375662   1.2758285e-16               0
     0.72826434       2.1880315   1.1506354e-16               0
     0.76612343       2.2336434   1.0135471e-16               0
     0.80535246       2.2737292   8.6515218e-17               0
     0.84600101       2.3075543   6.9944907e-17               0
     0.88812045       2.3343246   5.1782733e-17               0
     0.93176398       2.3531654   3.2135163e-17               0
     0.97698677       2.3631121    1.101727e-17               0
